Age,Gender,Height,Weight,BMI,PhysicalActivityLevel,ObesityCategory
56,Male,173.5752624383722,71.98205082003972,23.891782623967966,4,0
69,Male,164.12730582233817,89.95925553264385,33.39520945079775,2,0
46,Female,168.0722021276139,72.93062926527618,25.81773745564312,4,0
32,Male,168.4596328403327,84.8869124724179,29.91224697575879,3,0
60,Male,183.56856774218892,69.03894549807254,20.487903055473048,3,0
25,Female,166.405627259751,61.14586774960326,22.08162832342537,4,0
78,Male,183.56633382183452,92.20852083312832,27.364340559050174,3,0
38,Male,142.8750950815203,59.359745680958994,29.07896647462822,1,0
56,Male,183.4785578132904,75.15767234686449,22.325576683306593,4,0
75,Male,182.97406114862625,81.5334604483671,24.35324400647721,2,0
36,Male,179.02254673389191,82.62239056706285,25.779963285892816,4,0
40,Female,149.88081996796228,52.518359946699704,23.37862876076313,1,0
28,Male,180.18886995222482,85.77925608742399,26.419606952860335,1,0
28,Male,169.49880824324748,55.315671308390954,19.253730533857095,1,0
41,Male,144.7066256007534,82.16055483024991,39.23616305231511,1,0
70,Male,182.98177707834697,78.02760206573649,23.30411304554486,1,0
53,Male,184.44173078548968,82.27945992669848,24.18650154870968,2,0
57,Female,150.9548792813483,51.9249471835146,22.786716708051546,3,0
41,Male,171.7542107530011,78.81894614101587,26.718731616102616,1,0
20,Female,183.88591121444185,86.28390514612256,25.517191938937412,1,0
39,Female,182.30161313457143,72.90093674742613,21.935729683779996,4,0
70,Male,178.36061051159527,57.72074980593135,18.144042879960317,2,1
19,Male,143.52747120102492,83.79621421491986,40.67750733584829,2,0
41,Male,177.2954276663581,71.70879442151154,22.812734705307626,3,0
61,Male,167.81896101626057,44.88333604258456,15.936871585356322,2,1
47,Female,179.95857528718494,56.55715806525009,17.463950270650958,4,1
55,Male,172.56161458433826,62.10558203159539,20.856539148092143,4,0
19,Male,169.80118389711134,92.58727431459484,32.11218603850754,3,0
77,Male,176.40903849409236,89.9527462945932,28.90498586375549,4,0
38,Male,168.2808662892824,89.90452796585015,31.74768678928019,1,0
50,Male,169.75722720108058,73.485404165258,25.5002560555202,1,0
29,Male,164.44776000871238,83.70392187668799,30.952083089527434,4,0
75,Female,153.94591008815442,52.888308869711636,22.316360563257085,3,0
39,Female,175.67853473771268,70.10204647589157,22.713982947470704,2,0
78,Male,161.9396968032943,76.77449052474395,29.27590299803369,3,0
61,Male,167.99208133959266,53.876514140363206,19.090700618586734,2,0
42,Male,172.8697395845393,73.14868134462805,24.47758379355259,4,0
66,Female,149.1478235643456,95.29958778706516,42.84076146358747,4,0
44,Male,151.38651096323176,78.38154676840941,34.20105239634688,1,0
76,Female,167.00261423390796,83.76317809996179,30.033545730575188,2,0
59,Male,174.54563482299656,33.213896148516056,10.90189109228414,3,1
45,Male,177.44038270649162,93.36953273729387,29.65515882979624,4,0
77,Male,154.08685504124094,67.20816478371745,28.30680506704876,3,0
33,Male,176.3663148441281,58.469705288949356,18.797479674125167,1,0
32,Female,167.5493038168366,67.38043222285104,24.00206111480914,2,0
79,Female,161.16842754903524,47.724667625786545,18.37312268681397,2,1
79,Male,163.51448143940632,85.71913092628213,32.06013276110145,4,0
64,Male,178.01857332040166,64.96906415839311,20.50104404482073,2,0
79,Female,172.74005785085572,58.92053781960897,19.746065848998725,4,0
68,Female,170.5030652275532,67.47917401467453,23.21161593584396,1,0
61,Female,172.434957388079,86.7702348186421,29.18234212188366,2,0
72,Female,179.28097776616193,71.97187601171831,22.3920780332899,4,0
69,Male,169.02900432596678,48.854593456997996,17.099481323015052,3,1
74,Female,170.54318886454237,76.97471244611624,26.46545205915807,4,0
20,Male,181.3817074013781,56.065300685160615,17.041475095460086,2,1
54,Female,166.68413375736841,37.65848452937775,13.554213249635632,1,1
68,Female,176.1814059528068,92.4401081907577,29.781070336314603,2,0
24,Female,164.96295519326858,76.85844812241534,28.24351564392888,2,0
