feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,label
64.0,55.0,50.0,77.0,59.0,53.0,53.0,57.0,56.0,61.0,0.0
62.0,61.0,72.0,72.0,41.0,65.0,58.0,59.0,48.0,72.0,0.0
60.0,63.0,63.0,67.0,58.0,60.0,61.0,65.0,59.0,60.0,0.0
54.0,54.0,68.0,73.0,57.0,63.0,50.0,57.0,56.0,72.0,0.0
63.0,49.0,43.0,52.0,61.0,63.0,66.0,45.0,65.0,60.0,0.0
64.0,65.0,79.0,69.0,61.0,63.0,52.0,52.0,45.0,49.0,0.0
65.0,53.0,64.0,70.0,62.0,65.0,53.0,59.0,72.0,51.0,0.0
68.0,74.0,64.0,47.0,63.0,59.0,64.0,66.0,54.0,53.0,0.0
59.0,52.0,61.0,59.0,81.0,52.0,54.0,63.0,67.0,78.0,0.0
73.0,67.0,62.0,67.0,55.0,57.0,48.0,58.0,68.0,58.0,0.0
54.0,57.0,66.0,58.0,67.0,50.0,53.0,56.0,50.0,83.0,0.0
51.0,67.0,55.0,56.0,62.0,48.0,55.0,59.0,53.0,53.0,0.0
69.0,68.0,56.0,59.0,70.0,49.0,63.0,76.0,76.0,45.0,0.0
54.0,61.0,49.0,55.0,59.0,71.0,60.0,62.0,64.0,64.0,0.0
60.0,50.0,66.0,63.0,51.0,55.0,67.0,65.0,54.0,58.0,0.0
59.0,65.0,70.0,61.0,69.0,67.0,62.0,48.0,52.0,66.0,0.0
46.0,61.0,68.0,61.0,55.0,53.0,67.0,64.0,58.0,68.0,0.0
67.0,74.0,65.0,59.0,59.0,45.0,61.0,60.0,49.0,60.0,0.0
71.0,54.0,52.0,69.0,65.0,84.0,49.0,66.0,63.0,60.0,0.0
67.0,60.0,45.0,53.0,71.0,69.0,57.0,64.0,82.0,60.0,0.0
60.0,62.0,65.0,57.0,65.0,44.0,63.0,60.0,58.0,56.0,0.0
55.0,54.0,42.0,58.0,69.0,57.0,65.0,51.0,50.0,54.0,0.0
52.0,51.0,64.0,74.0,55.0,47.0,65.0,49.0,51.0,64.0,0.0
59.0,55.0,61.0,57.0,75.0,55.0,53.0,56.0,57.0,65.0,0.0
44.0,63.0,56.0,66.0,60.0,64.0,57.0,63.0,73.0,54.0,0.0
59.0,56.0,73.0,57.0,54.0,55.0,59.0,54.0,57.0,61.0,0.0
59.0,67.0,57.0,58.0,62.0,78.0,54.0,75.0,51.0,62.0,0.0
57.0,53.0,66.0,65.0,56.0,43.0,57.0,61.0,60.0,66.0,0.0
75.0,63.0,65.0,61.0,69.0,64.0,66.0,74.0,62.0,58.0,0.0
64.0,69.0,64.0,68.0,55.0,53.0,56.0,50.0,61.0,57.0,0.0
70.0,50.0,72.0,52.0,50.0,53.0,76.0,60.0,64.0,59.0,0.0
59.0,56.0,60.0,64.0,73.0,45.0,73.0,64.0,57.0,56.0,0.0
68.0,62.0,48.0,63.0,69.0,67.0,55.0,49.0,57.0,86.0,0.0
48.0,53.0,63.0,59.0,58.0,76.0,53.0,60.0,62.0,54.0,0.0
49.0,62.0,74.0,63.0,61.0,61.0,58.0,69.0,56.0,49.0,0.0
47.0,61.0,68.0,62.0,57.0,64.0,61.0,67.0,71.0,52.0,0.0
41.0,57.0,52.0,67.0,54.0,45.0,55.0,48.0,73.0,64.0,0.0
65.0,64.0,67.0,69.0,56.0,49.0,53.0,60.0,40.0,69.0,0.0
45.0,65.0,59.0,62.0,56.0,62.0,56.0,56.0,53.0,72.0,0.0
63.0,62.0,53.0,58.0,52.0,56.0,50.0,73.0,54.0,53.0,0.0
49.0,54.0,56.0,60.0,55.0,47.0,48.0,65.0,59.0,65.0,0.0
66.0,61.0,50.0,62.0,71.0,56.0,63.0,60.0,71.0,55.0,0.0
69.0,57.0,54.0,61.0,63.0,75.0,63.0,62.0,73.0,65.0,0.0
55.0,71.0,54.0,55.0,53.0,53.0,63.0,58.0,32.0,58.0,0.0
