support	itemsets
0.9	frozenset({'Success'})
0.1275	frozenset({'ICL'})
0.121	frozenset({'NeuTraL'})
0.117	frozenset({'Success', 'ICL'})
0.111	frozenset({'GOAD'})
0.109	frozenset({'NeuTraL', 'Success'})
0.1015	frozenset({'DevNet'})
0.0995	frozenset({'PReNet'})
0.099	frozenset({'GOAD', 'Success'})
0.0985	frozenset({'DevNet', 'Success'})
0.097	frozenset({'SLAD'})
0.097	frozenset({'RoSAS'})
0.0955	frozenset({'PReNet', 'Success'})
0.0935	frozenset({'SLAD', 'Success'})
0.0925	frozenset({'RoSAS', 'Success'})
0.088	frozenset({'DeepSAD'})
0.0855	frozenset({'Success', 'DeepSAD'})
0.0785	frozenset({'DeepSVDD'})
0.0775	frozenset({'RCA'})
0.0775	frozenset({'RePEN'})
0.0745	frozenset({'Success', 'RePEN'})
0.074	frozenset({'Success', 'RCA'})
0.0705	frozenset({'Success', 'DeepSVDD'})
0.055	frozenset({'RePEN', 'RCA'})
0.0535	frozenset({'Success', 'RePEN', 'RCA'})
0.0475	frozenset({'PReNet', 'DevNet'})
0.0455	frozenset({'PReNet', 'DevNet', 'Success'})
0.042	frozenset({'RCA', 'DeepSAD'})
0.0405	frozenset({'RCA', 'Success', 'DeepSAD'})
0.039	frozenset({'RePEN', 'DeepSAD'})
0.038	frozenset({'Success', 'RePEN', 'DeepSAD'})
0.031	frozenset({'RCA', 'RePEN', 'DeepSAD'})
0.03	frozenset({'RCA', 'Success', 'RePEN', 'DeepSAD'})
0.03	frozenset({'DevNet', 'Success', 'DeepSAD'})
0.03	frozenset({'DevNet', 'DeepSAD'})
0.0295	frozenset({'DevNet', 'ICL'})
0.029	frozenset({'DevNet', 'Success', 'ICL'})
0.027	frozenset({'DevNet', 'RePEN'})
0.0265	frozenset({'DeepSVDD', 'RCA'})
0.0265	frozenset({'Success', 'DevNet', 'RePEN'})
0.0265	frozenset({'Success', 'DeepSVDD', 'RCA'})
0.0255	frozenset({'NeuTraL', 'ICL'})
0.025	frozenset({'SLAD', 'DeepSVDD'})
0.0245	frozenset({'SLAD', 'GOAD'})
0.024	frozenset({'Success', 'SLAD', 'DeepSVDD'})
0.024	frozenset({'GOAD', 'ICL'})
0.0235	frozenset({'NeuTraL', 'Success', 'ICL'})
0.023	frozenset({'Success', 'RePEN', 'DeepSVDD'})
0.023	frozenset({'Success', 'RePEN', 'DeepSVDD', 'RCA'})
0.023	frozenset({'RePEN', 'DeepSVDD'})
0.023	frozenset({'RePEN', 'DeepSVDD', 'RCA'})
0.0225	frozenset({'SLAD', 'GOAD', 'Success'})
0.0225	frozenset({'GOAD', 'NeuTraL'})
0.022	frozenset({'DevNet', 'RCA'})
0.022	frozenset({'PReNet', 'ICL'})
0.0215	frozenset({'PReNet', 'Success', 'ICL'})
0.0215	frozenset({'DevNet', 'Success', 'RCA'})
0.0215	frozenset({'RoSAS', 'DevNet', 'Success'})
0.0215	frozenset({'RoSAS', 'DevNet'})
0.0205	frozenset({'ICL', 'DeepSAD'})
0.02	frozenset({'GOAD', 'Success', 'ICL'})
0.02	frozenset({'ICL', 'Success', 'DeepSAD'})
0.0195	frozenset({'RCA', 'Success', 'DeepSVDD', 'DeepSAD'})
0.0195	frozenset({'RCA', 'DeepSVDD', 'DeepSAD'})
0.0195	frozenset({'Success', 'DeepSVDD', 'DeepSAD'})
0.0195	frozenset({'DeepSVDD', 'DeepSAD'})
0.0195	frozenset({'GOAD', 'NeuTraL', 'Success'})
0.019	frozenset({'RoSAS', 'NeuTraL'})
0.019	frozenset({'PReNet', 'RCA'})
