antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'RoSAS', 'RePEN', 'DeepSAD'})	frozenset({'Success'})	0.0025	0.9	0.0025	1.0	1.1111111111111112	0.0002499999999999998	inf	0.10025062656641594
frozenset({'RCA', 'SLAD', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'PReNet', 'DeepSAD', 'RCA', 'SLAD', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'DevNet', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'RCA'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'PReNet', 'SLAD', 'RCA'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'ICL', 'RePEN', 'RCA'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'ICL', 'DevNet', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'PReNet', 'SLAD', 'RePEN', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'PReNet', 'RoSAS', 'RePEN', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'RoSAS', 'DeepSAD', 'ICL'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'Z_score', 'RePEN', 'RCA'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'PReNet', 'RCA', 'SLAD', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'PReNet', 'SLAD', 'DevNet', 'RCA'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'PReNet', 'RoSAS', 'DevNet', 'RCA'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'RePEN', 'RCA'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'Quartile', 'Z_score', 'RePEN', 'RCA'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'GOAD', 'RoSAS', 'NeuTraL'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'Quartile', 'RePEN', 'DeepSVDD', 'RCA'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'Quartile', 'Z_score', 'DeepSVDD', 'RCA'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'DeepSVDD', 'PReNet', 'RePEN', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
