support	itemsets
0.9	frozenset({'Success'})
0.1275	frozenset({'ICL'})
0.121	frozenset({'NeuTraL'})
0.117	frozenset({'Success', 'ICL'})
0.111	frozenset({'GOAD'})
0.109	frozenset({'Success', 'NeuTraL'})
0.1015	frozenset({'DevNet'})
0.0995	frozenset({'PReNet'})
0.099	frozenset({'Success', 'GOAD'})
0.0985	frozenset({'Success', 'DevNet'})
0.097	frozenset({'SLAD'})
0.097	frozenset({'RoSAS'})
0.0955	frozenset({'Success', 'PReNet'})
0.0935	frozenset({'SLAD', 'Success'})
0.0925	frozenset({'Success', 'RoSAS'})
0.088	frozenset({'DeepSAD'})
0.0855	frozenset({'Success', 'DeepSAD'})
0.0785	frozenset({'DeepSVDD'})
0.0775	frozenset({'RePEN'})
0.0775	frozenset({'RCA'})
0.0745	frozenset({'Success', 'RePEN'})
0.074	frozenset({'Success', 'RCA'})
0.0705	frozenset({'Success', 'DeepSVDD'})
0.055	frozenset({'RCA', 'RePEN'})
0.0535	frozenset({'Success', 'RCA', 'RePEN'})
0.0475	frozenset({'DevNet', 'PReNet'})
0.0455	frozenset({'Success', 'DevNet', 'PReNet'})
0.042	frozenset({'RCA', 'DeepSAD'})
0.0405	frozenset({'Success', 'RCA', 'DeepSAD'})
0.039	frozenset({'DeepSAD', 'RePEN'})
0.038	frozenset({'Success', 'DeepSAD', 'RePEN'})
0.031	frozenset({'RCA', 'DeepSAD', 'RePEN'})
0.03	frozenset({'Success', 'DeepSAD', 'DevNet'})
0.03	frozenset({'Success', 'RCA', 'DeepSAD', 'RePEN'})
0.03	frozenset({'DeepSAD', 'DevNet'})
0.0295	frozenset({'ICL', 'DevNet'})
0.029	frozenset({'Success', 'ICL', 'DevNet'})
0.027	frozenset({'DevNet', 'RePEN'})
0.0265	frozenset({'Success', 'DevNet', 'RePEN'})
0.0265	frozenset({'Success', 'DeepSVDD', 'RCA'})
0.0265	frozenset({'DeepSVDD', 'RCA'})
0.0255	frozenset({'ICL', 'NeuTraL'})
0.025	frozenset({'SLAD', 'DeepSVDD'})
0.0245	frozenset({'SLAD', 'GOAD'})
0.024	frozenset({'SLAD', 'DeepSVDD', 'Success'})
0.024	frozenset({'GOAD', 'ICL'})
0.0235	frozenset({'Success', 'ICL', 'NeuTraL'})
0.023	frozenset({'DeepSVDD', 'RePEN'})
0.023	frozenset({'Success', 'DeepSVDD', 'RCA', 'RePEN'})
0.023	frozenset({'Success', 'DeepSVDD', 'RePEN'})
0.023	frozenset({'DeepSVDD', 'RCA', 'RePEN'})
0.0225	frozenset({'SLAD', 'GOAD', 'Success'})
0.0225	frozenset({'GOAD', 'NeuTraL'})
0.022	frozenset({'ICL', 'PReNet'})
0.022	frozenset({'RCA', 'DevNet'})
0.0215	frozenset({'RoSAS', 'DevNet'})
0.0215	frozenset({'Success', 'RoSAS', 'DevNet'})
0.0215	frozenset({'Success', 'RCA', 'DevNet'})
0.0215	frozenset({'Success', 'ICL', 'PReNet'})
0.0205	frozenset({'ICL', 'DeepSAD'})
0.02	frozenset({'Success', 'GOAD', 'ICL'})
0.02	frozenset({'Success', 'ICL', 'DeepSAD'})
0.0195	frozenset({'DeepSVDD', 'RCA', 'DeepSAD'})
0.0195	frozenset({'Success', 'GOAD', 'NeuTraL'})
0.0195	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD'})
0.0195	frozenset({'Success', 'DeepSVDD', 'DeepSAD'})
0.0195	frozenset({'DeepSVDD', 'DeepSAD'})
0.019	frozenset({'RoSAS', 'NeuTraL'})
0.019	frozenset({'RCA', 'PReNet'})
