antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'DeepSVDD', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.0025	0.9	0.0025	1.0	1.1111111111111112	0.0002499999999999998	inf	0.10025062656641594
frozenset({'SLAD', 'NeuTraL', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'DeepSAD', 'RePEN', 'SLAD', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'RoSAS', 'RePEN', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'ICL'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RCA', 'ICL', 'RePEN'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'ICL', 'SLAD', 'RCA', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'DevNet', 'RePEN', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'RoSAS', 'SLAD', 'RCA', 'RePEN'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'RCA'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'Z_score', 'RCA', 'DeepSAD', 'Quartile'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'SLAD', 'RCA', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'ICL', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'NeuTraL', 'RePEN'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'RoSAS', 'RCA', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'GOAD', 'SLAD', 'DeepSVDD', 'ICL'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'Z_score', 'Quartile', 'RePEN'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'Z_score', 'RePEN'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'SLAD', 'ICL', 'RePEN'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'Z_score', 'RCA', 'Quartile'})	frozenset({'Success'})	0.002	0.9	0.002	1.0	1.1111111111111112	0.00019999999999999987	inf	0.10020040080160314
frozenset({'DevNet', 'RoSAS', 'RePEN', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'RoSAS', 'NeuTraL', 'ICL', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RCA', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'RCA', 'DeepSAD', 'SLAD', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'Z_score', 'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'Z_score', 'RCA', 'DeepSAD'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'Z_score', 'Quartile', 'DeepSAD'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'Z_score', 'DeepSAD'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'NeuTraL', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSVDD', 'ICL', 'PReNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSVDD', 'RoSAS', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'SLAD', 'DeepSVDD', 'DevNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSVDD', 'ICL', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSAD', 'ICL', 'SLAD', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSVDD', 'ICL', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSVDD', 'ICL', 'DevNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSVDD', 'RoSAS', 'DevNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'SLAD', 'DeepSVDD', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'DeepSAD', 'ICL', 'RoSAS', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.001	0.9	0.001	1.0	1.1111111111111112	9.999999999999994e-05	inf	0.10010010010010002
frozenset({'RoSAS', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RCA', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'SLAD', 'RoSAS', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
frozenset({'RoSAS', 'ICL', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.0015	0.9	0.0015	1.0	1.1111111111111112	0.00014999999999999996	inf	0.10015022533800698
