support	itemsets
0.9025	frozenset({'Success'})
0.119	frozenset({'NeuTraL'})
0.118	frozenset({'ICL'})
0.115	frozenset({'GOAD'})
0.1095	frozenset({'Success', 'ICL'})
0.1055	frozenset({'NeuTraL', 'Success'})
0.1045	frozenset({'Success', 'GOAD'})
0.1045	frozenset({'RoSAS'})
0.1025	frozenset({'PReNet'})
0.1	frozenset({'DevNet'})
0.0975	frozenset({'Success', 'DevNet'})
0.097	frozenset({'Success', 'PReNet'})
0.0965	frozenset({'SLAD'})
0.096	frozenset({'Success', 'RoSAS'})
0.0895	frozenset({'DeepSVDD'})
0.0885	frozenset({'Success', 'SLAD'})
0.084	frozenset({'RCA'})
0.0825	frozenset({'DeepSAD'})
0.082	frozenset({'DeepSVDD', 'Success'})
0.081	frozenset({'RCA', 'Success'})
0.0795	frozenset({'DeepSAD', 'Success'})
0.0725	frozenset({'RePEN'})
0.069	frozenset({'Success', 'RePEN'})
0.052	frozenset({'RCA', 'RePEN'})
0.05	frozenset({'RCA', 'Success', 'RePEN'})
0.048	frozenset({'NeuTraL', 'GOAD'})
0.044	frozenset({'NeuTraL', 'Success', 'GOAD'})
0.04	frozenset({'DeepSAD', 'RCA'})
0.0385	frozenset({'DeepSAD', 'Success', 'RCA'})
0.0385	frozenset({'DevNet', 'PReNet'})
0.037	frozenset({'Success', 'DevNet', 'PReNet'})
0.033	frozenset({'RoSAS', 'DevNet'})
0.032	frozenset({'Success', 'RoSAS', 'DevNet'})
0.0295	frozenset({'DeepSAD', 'RePEN'})
0.029	frozenset({'RCA', 'DeepSVDD'})
0.0285	frozenset({'DeepSAD', 'Success', 'RePEN'})
0.0285	frozenset({'RCA', 'DeepSVDD', 'Success'})
0.0275	frozenset({'NeuTraL', 'ICL'})
0.0265	frozenset({'DeepSAD', 'RePEN', 'RCA'})
0.0265	frozenset({'DeepSVDD', 'SLAD'})
0.026	frozenset({'NeuTraL', 'Success', 'ICL'})
0.026	frozenset({'DeepSVDD', 'NeuTraL'})
0.0255	frozenset({'DeepSAD', 'Success', 'RePEN', 'RCA'})
0.0245	frozenset({'RCA', 'Success', 'DevNet'})
0.0245	frozenset({'DeepSVDD', 'Success', 'SLAD'})
0.0245	frozenset({'RCA', 'DevNet'})
0.024	frozenset({'DeepSAD', 'DevNet'})
0.0235	frozenset({'SLAD', 'GOAD'})
0.0235	frozenset({'DeepSVDD', 'Success', 'NeuTraL'})
0.0235	frozenset({'NeuTraL', 'SLAD'})
0.0235	frozenset({'DeepSAD', 'Success', 'DevNet'})
0.023	frozenset({'DeepSVDD', 'RePEN'})
0.023	frozenset({'RCA', 'DeepSVDD', 'RePEN'})
0.023	frozenset({'RCA', 'PReNet'})
0.023	frozenset({'RoSAS', 'PReNet'})
0.0225	frozenset({'RCA', 'DeepSVDD', 'Success', 'RePEN'})
0.0225	frozenset({'RCA', 'Success', 'PReNet'})
0.0225	frozenset({'RePEN', 'DevNet'})
0.0225	frozenset({'Success', 'RePEN', 'DevNet'})
0.0225	frozenset({'Success', 'SLAD', 'GOAD'})
0.0225	frozenset({'DeepSVDD', 'Success', 'RePEN'})
0.022	frozenset({'NeuTraL', 'Success', 'SLAD'})
0.021	frozenset({'ICL', 'GOAD'})
0.021	frozenset({'DeepSVDD', 'GOAD'})
0.021	frozenset({'RCA', 'ICL'})
0.0205	frozenset({'Success', 'RoSAS', 'PReNet'})
0.0205	frozenset({'RCA', 'Success', 'ICL'})
0.0205	frozenset({'RePEN', 'PReNet'})
0.02	frozenset({'NeuTraL', 'RoSAS'})
0.02	frozenset({'Success', 'RePEN', 'PReNet'})
0.02	frozenset({'Success', 'ICL', 'GOAD'})
0.0195	frozenset({'RCA', 'SLAD'})
0.0195	frozenset({'DeepSAD', 'DeepSVDD'})
0.0195	frozenset({'DevNet', 'ICL'})
0.019	frozenset({'DeepSAD', 'DeepSVDD', 'Success'})
0.0185	frozenset({'Success', 'DevNet', 'ICL'})
0.0185	frozenset({'DeepSAD', 'DeepSVDD', 'RCA'})
0.0185	frozenset({'RCA', 'Success', 'SLAD'})
0.0185	frozenset({'DeepSVDD', 'Success', 'GOAD'})
0.0185	frozenset({'ICL', 'PReNet'})
0.018	frozenset({'DeepSAD', 'DeepSVDD', 'Success', 'RCA'})
0.0175	frozenset({'SLAD', 'ICL'})
0.017	frozenset({'NeuTraL', 'Success', 'RoSAS'})
0.017	frozenset({'RCA', 'RePEN', 'DevNet'})
0.017	frozenset({'Success', 'SLAD', 'ICL'})
0.017	frozenset({'RCA', 'Success', 'RePEN', 'DevNet'})
0.017	frozenset({'RePEN', 'SLAD'})
0.0165	frozenset({'Success', 'ICL', 'PReNet'})
0.016	frozenset({'Success', 'RePEN', 'SLAD'})
0.016	frozenset({'DevNet', 'SLAD'})
0.016	frozenset({'DeepSAD', 'ICL'})
0.016	frozenset({'DeepSAD', 'Success', 'ICL'})
0.0155	frozenset({'RePEN', 'ICL'})
0.015	frozenset({'Success', 'RePEN', 'ICL'})
0.015	frozenset({'DeepSAD', 'Success', 'PReNet'})
0.015	frozenset({'DeepSAD', 'DeepSVDD', 'RePEN', 'RCA'})
0.015	frozenset({'DevNet', 'Success', 'SLAD'})
0.015	frozenset({'DeepSAD', 'DeepSVDD', 'RePEN'})
0.015	frozenset({'DeepSAD', 'PReNet'})
