antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.03	0.9	0.03	1.0	1.1111111111111112	0.002999999999999999	inf	0.10309278350515462
frozenset({'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.039	0.9	0.038	0.9743589743589743	1.0826210826210825	0.0029	3.899999999999996	0.07941289227230408
frozenset({'RePEN', 'RCA'})	frozenset({'Success'})	0.055	0.9	0.0535	0.9727272727272727	1.0808080808080807	0.003999999999999997	3.666666666666657	0.07911783612718186
frozenset({'DeepSAD'})	frozenset({'Success'})	0.088	0.9	0.0855	0.9715909090909092	1.0795454545454546	0.006300000000000014	3.5200000000000093	0.08079409048938152
frozenset({'DevNet'})	frozenset({'Success'})	0.1015	0.9	0.0985	0.9704433497536945	1.078270388615216	0.00714999999999999	3.383333333333324	0.08078890649672736
frozenset({'DeepSAD', 'RePEN', 'RCA'})	frozenset({'Success'})	0.031	0.9	0.03	0.9677419354838709	1.075268817204301	0.0020999999999999977	3.099999999999991	0.07223942208462325
frozenset({'DeepSAD', 'RCA'})	frozenset({'Success'})	0.042	0.9	0.0405	0.9642857142857143	1.0714285714285714	0.002700000000000001	2.8000000000000007	0.06958942240779405
frozenset({'SLAD'})	frozenset({'Success'})	0.097	0.9	0.0935	0.9639175257731959	1.0710194730813287	0.006199999999999997	2.7714285714285722	0.07343317876833605
frozenset({'RePEN'})	frozenset({'Success'})	0.0775	0.9	0.0745	0.9612903225806452	1.0681003584229392	0.00474999999999999	2.5833333333333335	0.06911478510758248
frozenset({'PReNet'})	frozenset({'Success'})	0.0995	0.9	0.0955	0.9597989949748743	1.0664433277498604	0.005949999999999997	2.4874999999999954	0.06918785665904047
frozenset({'PReNet', 'DevNet'})	frozenset({'Success'})	0.0475	0.9	0.0455	0.9578947368421052	1.064327485380117	0.0027499999999999955	2.3749999999999982	0.06345360676069327
frozenset({'RCA'})	frozenset({'Success'})	0.0775	0.9	0.074	0.9548387096774194	1.060931899641577	0.00424999999999999	2.2142857142857135	0.06225737933054992
frozenset({'RoSAS'})	frozenset({'Success'})	0.097	0.9	0.0925	0.9536082474226804	1.0595647193585338	0.005199999999999996	2.1555555555555523	0.062254945975876164
frozenset({'ICL'})	frozenset({'Success'})	0.1275	0.9	0.117	0.9176470588235295	1.019607843137255	0.002250000000000002	1.214285714285715	0.022040996253030656
frozenset({'NeuTraL'})	frozenset({'Success'})	0.121	0.9	0.109	0.9008264462809917	1.0009182736455464	0.00010000000000000286	1.008333333333333	0.0010437214933567427
frozenset({'DeepSVDD'})	frozenset({'Success'})	0.0785	0.9	0.0705	0.8980891719745222	0.9978768577494691	-0.00015000000000001124	0.981249999999999	-0.0023035901452415314
frozenset({'GOAD'})	frozenset({'Success'})	0.111	0.9	0.099	0.8918918918918919	0.990990990990991	-0.000899999999999998	0.9249999999999997	-0.01012248203259437
