support	itemsets
0.9892561983471074	frozenset({'Success'})
0.10193388429752066	frozenset({'DeepSAD'})
0.10180165289256199	frozenset({'RoSAS'})
0.10085950413223141	frozenset({'RCA'})
0.10006611570247934	frozenset({'GOAD'})
0.1	frozenset({'DeepSVDD'})
0.09980165289256199	frozenset({'Success', 'DeepSAD'})
0.09973553719008264	frozenset({'SLAD'})
0.0996198347107438	frozenset({'Success', 'RoSAS'})
0.09953719008264462	frozenset({'ICL'})
0.09952066115702479	frozenset({'DevNet'})
0.0994710743801653	frozenset({'PReNet'})
0.09930578512396694	frozenset({'NeuTraL'})
0.09889256198347107	frozenset({'Success', 'ICL'})
0.0987603305785124	frozenset({'PReNet', 'Success'})
0.09839669421487603	frozenset({'RePEN'})
0.09836363636363636	frozenset({'NeuTraL', 'Success'})
0.09828099173553718	frozenset({'Success', 'DeepSVDD'})
0.09813223140495868	frozenset({'RCA', 'Success'})
0.09780165289256199	frozenset({'GOAD', 'Success'})
0.09778512396694215	frozenset({'SLAD', 'Success'})
0.09723966942148761	frozenset({'DevNet', 'Success'})
0.09512396694214877	frozenset({'Success', 'RePEN'})
0.09160330578512396	frozenset({'RoSAS', 'DeepSAD'})
0.08963636363636364	frozenset({'Success', 'RoSAS', 'DeepSAD'})
0.061140495867768596	frozenset({'RCA', 'RePEN'})
0.0587603305785124	frozenset({'RCA', 'Success', 'RePEN'})
0.050727272727272725	frozenset({'DevNet', 'RoSAS'})
0.04932231404958678	frozenset({'DevNet', 'Success', 'RoSAS'})
0.048363636363636366	frozenset({'GOAD', 'DeepSVDD'})
0.04709090909090909	frozenset({'GOAD', 'Success', 'DeepSVDD'})
0.041801652892561984	frozenset({'DevNet', 'DeepSAD'})
0.041801652892561984	frozenset({'DevNet', 'RoSAS', 'DeepSAD'})
0.04061157024793388	frozenset({'DevNet', 'Success', 'RoSAS', 'DeepSAD'})
0.04061157024793388	frozenset({'DevNet', 'Success', 'DeepSAD'})
0.03251239669421488	frozenset({'SLAD', 'GOAD'})
0.03211570247933884	frozenset({'SLAD', 'RePEN'})
0.031619834710743804	frozenset({'NeuTraL', 'GOAD'})
0.0315702479338843	frozenset({'SLAD', 'RCA'})
0.03127272727272727	frozenset({'NeuTraL', 'GOAD', 'Success'})
0.030826446280991737	frozenset({'SLAD', 'GOAD', 'Success'})
0.030727272727272728	frozenset({'SLAD', 'Success', 'RePEN'})
0.030198347107438017	frozenset({'SLAD', 'RCA', 'Success'})
0.028892561983471076	frozenset({'SLAD', 'NeuTraL'})
0.028743801652892562	frozenset({'DeepSAD', 'DeepSVDD'})
0.028611570247933885	frozenset({'SLAD', 'NeuTraL', 'Success'})
0.027950413223140496	frozenset({'Success', 'DeepSAD', 'DeepSVDD'})
0.027768595041322314	frozenset({'SLAD', 'RCA', 'RePEN'})
0.026776859504132233	frozenset({'DevNet', 'RCA'})
0.026396694214876032	frozenset({'SLAD', 'RCA', 'Success', 'RePEN'})
0.02586776859504132	frozenset({'RoSAS', 'DeepSAD', 'DeepSVDD'})
0.02586776859504132	frozenset({'RoSAS', 'DeepSVDD'})
0.025735537190082643	frozenset({'RCA', 'RoSAS'})
0.025371900826446282	frozenset({'DevNet', 'RCA', 'Success'})
0.025239669421487605	frozenset({'RoSAS', 'Success', 'DeepSAD', 'DeepSVDD'})
0.025239669421487605	frozenset({'RoSAS', 'Success', 'DeepSVDD'})
0.025173553719008264	frozenset({'RCA', 'DeepSVDD'})
0.025074380165289255	frozenset({'SLAD', 'DeepSVDD'})
0.02466115702479339	frozenset({'Success', 'RCA', 'RoSAS'})
0.02459504132231405	frozenset({'RCA', 'GOAD'})
0.024297520661157024	frozenset({'PReNet', 'DeepSAD'})
0.024132231404958678	frozenset({'PReNet', 'Success', 'DeepSAD'})
0.02409917355371901	frozenset({'RCA', 'DeepSAD'})
0.023867768595041323	frozenset({'SLAD', 'Success', 'DeepSVDD'})
0.023768595041322314	frozenset({'RCA', 'Success', 'DeepSVDD'})
0.023206611570247934	frozenset({'RCA', 'GOAD', 'Success'})
0.022991735537190083	frozenset({'RCA', 'RoSAS', 'DeepSAD'})
0.02290909090909091	frozenset({'RCA', 'Success', 'DeepSAD'})
0.0228099173553719	frozenset({'DevNet', 'RePEN'})
0.02193388429752066	frozenset({'Success', 'RCA', 'RoSAS', 'DeepSAD'})
0.021206611570247932	frozenset({'DevNet', 'Success', 'RePEN'})
0.020942148760330577	frozenset({'NeuTraL', 'PReNet'})
0.020925619834710744	frozenset({'SLAD', 'DeepSAD'})
0.020710743801652894	frozenset({'NeuTraL', 'PReNet', 'Success'})
0.02014876033057851	frozenset({'SLAD', 'Success', 'DeepSAD'})
0.01990082644628099	frozenset({'GOAD', 'DeepSAD'})
0.019768595041322314	frozenset({'DevNet', 'RCA', 'RoSAS'})
0.019669421487603304	frozenset({'SLAD', 'RoSAS', 'DeepSAD'})
0.019669421487603304	frozenset({'SLAD', 'RoSAS'})
0.019636363636363636	frozenset({'GOAD', 'RoSAS', 'DeepSAD'})
0.019636363636363636	frozenset({'GOAD', 'RoSAS'})
0.019537190082644627	frozenset({'PReNet', 'RoSAS', 'DeepSAD'})
0.019537190082644627	frozenset({'PReNet', 'RoSAS'})
0.01937190082644628	frozenset({'Success', 'PReNet', 'RoSAS', 'DeepSAD'})
0.01937190082644628	frozenset({'Success', 'PReNet', 'RoSAS'})
0.019140495867768594	frozenset({'DevNet', 'RoSAS', 'RePEN'})
0.019140495867768594	frozenset({'RoSAS', 'RePEN'})
0.019107438016528925	frozenset({'GOAD', 'Success', 'DeepSAD'})
0.019008264462809916	frozenset({'DevNet', 'RCA', 'RePEN'})
0.018892561983471074	frozenset({'SLAD', 'Success', 'RoSAS'})
0.018892561983471074	frozenset({'SLAD', 'Success', 'RoSAS', 'DeepSAD'})
0.018876033057851238	frozenset({'GOAD', 'Success', 'DeepSAD', 'RoSAS'})
0.018876033057851238	frozenset({'Success', 'GOAD', 'RoSAS'})
0.018859504132231406	frozenset({'RCA', 'GOAD', 'DeepSVDD'})
0.01869421487603306	frozenset({'DevNet', 'Success', 'RCA', 'RoSAS'})
0.018016528925619835	frozenset({'DevNet', 'Success', 'RoSAS', 'RePEN'})
0.018016528925619835	frozenset({'Success', 'RoSAS', 'RePEN'})
0.017669421487603306	frozenset({'DevNet', 'RCA', 'Success', 'RePEN'})
0.017603305785123965	frozenset({'RCA', 'GOAD', 'Success', 'DeepSVDD'})
0.017024793388429754	frozenset({'DevNet', 'RCA', 'DeepSAD'})
0.017024793388429754	frozenset({'DevNet', 'RCA', 'RoSAS', 'DeepSAD'})
0.01677685950413223	frozenset({'DevNet', 'RCA', 'RoSAS', 'RePEN'})
0.01677685950413223	frozenset({'RCA', 'RoSAS', 'RePEN'})
0.016429752066115702	frozenset({'RoSAS', 'DeepSAD', 'RePEN'})
0.016429752066115702	frozenset({'DevNet', 'RoSAS', 'DeepSAD', 'RePEN'})
0.016429752066115702	frozenset({'DeepSAD', 'RePEN'})
0.016429752066115702	frozenset({'DevNet', 'DeepSAD', 'RePEN'})
0.015966942148760332	frozenset({'DevNet', 'RCA', 'Success', 'DeepSAD'})
0.015966942148760332	frozenset({'DeepSAD', 'RCA', 'Success', 'RoSAS', 'DevNet'})
0.015735537190082645	frozenset({'RePEN', 'RCA', 'Success', 'RoSAS', 'DevNet'})
0.015735537190082645	frozenset({'Success', 'RCA', 'RoSAS', 'RePEN'})
0.015504132231404958	frozenset({'ICL', 'RePEN'})
0.01547107438016529	frozenset({'SLAD', 'DeepSAD', 'DeepSVDD'})
0.015454545454545455	frozenset({'SLAD', 'GOAD', 'DeepSVDD'})
0.015338842975206612	frozenset({'Success', 'RoSAS', 'DeepSAD', 'RePEN'})
0.015338842975206612	frozenset({'Success', 'DeepSAD', 'RePEN'})
0.015338842975206612	frozenset({'DeepSAD', 'RePEN', 'Success', 'RoSAS', 'DevNet'})
0.015338842975206612	frozenset({'DevNet', 'Success', 'DeepSAD', 'RePEN'})
0.015289256198347107	frozenset({'SLAD', 'RoSAS', 'DeepSVDD'})
0.015289256198347107	frozenset({'SLAD', 'RoSAS', 'DeepSAD', 'DeepSVDD'})
0.015289256198347107	frozenset({'Success', 'ICL', 'RePEN'})
0.01484297520661157	frozenset({'SLAD', 'Success', 'DeepSAD', 'DeepSVDD'})
0.014826446280991735	frozenset({'GOAD', 'RePEN'})
0.01477685950413223	frozenset({'SLAD', 'PReNet'})
0.01477685950413223	frozenset({'SLAD', 'RCA', 'GOAD'})
0.014694214876033057	frozenset({'SLAD', 'PReNet', 'Success'})
0.014661157024793389	frozenset({'SLAD', 'Success', 'RoSAS', 'DeepSVDD'})
0.014661157024793389	frozenset({'DeepSAD', 'Success', 'DeepSVDD', 'SLAD', 'RoSAS'})
0.01456198347107438	frozenset({'NeuTraL', 'DeepSAD'})
0.014528925619834711	frozenset({'DevNet', 'RCA', 'DeepSAD', 'RePEN'})
0.014528925619834711	frozenset({'DeepSAD', 'RePEN', 'RCA', 'RoSAS', 'DevNet'})
0.014528925619834711	frozenset({'RCA', 'DeepSAD', 'RePEN'})
0.014528925619834711	frozenset({'RCA', 'RoSAS', 'DeepSAD', 'RePEN'})
0.014512396694214877	frozenset({'NeuTraL', 'Success', 'DeepSAD'})
0.014479338842975207	frozenset({'RCA', 'GOAD', 'RePEN'})
0.014247933884297521	frozenset({'SLAD', 'GOAD', 'Success', 'DeepSVDD'})
0.013504132231404958	frozenset({'DeepSAD', 'RePEN', 'RCA', 'Success', 'RoSAS', 'DevNet'})
0.013504132231404958	frozenset({'DeepSAD', 'RePEN', 'RCA', 'Success', 'DevNet'})
0.013504132231404958	frozenset({'DeepSAD', 'RePEN', 'RCA', 'Success', 'RoSAS'})
0.013504132231404958	frozenset({'RCA', 'Success', 'DeepSAD', 'RePEN'})
0.013487603305785124	frozenset({'GOAD', 'Success', 'RePEN'})
0.01347107438016529	frozenset({'SLAD', 'RCA', 'GOAD', 'Success'})
0.013438016528925619	frozenset({'SLAD', 'GOAD', 'RePEN'})
0.013173553719008264	frozenset({'SLAD', 'RCA', 'GOAD', 'RePEN'})
0.01315702479338843	frozenset({'RCA', 'GOAD', 'Success', 'RePEN'})
0.012115702479338844	frozenset({'NeuTraL', 'RoSAS'})
0.012115702479338844	frozenset({'SLAD', 'GOAD', 'Success', 'RePEN'})
0.012115702479338844	frozenset({'NeuTraL', 'RoSAS', 'DeepSAD'})
0.012066115702479339	frozenset({'NeuTraL', 'Success', 'RoSAS', 'DeepSAD'})
0.012066115702479339	frozenset({'NeuTraL', 'Success', 'RoSAS'})
0.011933884297520661	frozenset({'RCA', 'GOAD', 'DeepSAD'})
0.011867768595041323	frozenset({'RePEN', 'RCA', 'Success', 'SLAD', 'GOAD'})
0.01168595041322314	frozenset({'RCA', 'GOAD', 'RoSAS'})
0.01168595041322314	frozenset({'RCA', 'GOAD', 'RoSAS', 'DeepSAD'})
0.011140495867768595	frozenset({'RCA', 'GOAD', 'Success', 'DeepSAD'})
0.01112396694214876	frozenset({'GOAD', 'DeepSAD', 'DeepSVDD'})
0.011024793388429752	frozenset({'SLAD', 'RCA', 'DeepSVDD'})
0.010925619834710744	frozenset({'RCA', 'GOAD', 'RoSAS', 'Success'})
0.010925619834710744	frozenset({'DeepSAD', 'RCA', 'Success', 'RoSAS', 'GOAD'})
0.01090909090909091	frozenset({'NeuTraL', 'PReNet', 'DeepSAD'})
0.010859504132231405	frozenset({'GOAD', 'RoSAS', 'DeepSVDD'})
0.010859504132231405	frozenset({'GOAD', 'RoSAS', 'DeepSAD', 'DeepSVDD'})
0.010859504132231405	frozenset({'RCA', 'DeepSAD', 'DeepSVDD'})
0.010859504132231405	frozenset({'NeuTraL', 'PReNet', 'Success', 'DeepSAD'})
0.010628099173553718	frozenset({'SLAD', 'RCA', 'GOAD', 'DeepSVDD'})
0.010462809917355372	frozenset({'GOAD', 'Success', 'DeepSAD', 'DeepSVDD'})
0.010413223140495868	frozenset({'PReNet', 'DeepSVDD'})
0.010413223140495868	frozenset({'PReNet', 'Success', 'DeepSVDD'})
0.010231404958677685	frozenset({'RoSAS', 'GOAD', 'Success', 'DeepSVDD'})
0.010231404958677685	frozenset({'DeepSAD', 'Success', 'DeepSVDD', 'RoSAS', 'GOAD'})
0.010099173553719008	frozenset({'RCA', 'Success', 'DeepSAD', 'DeepSVDD'})
