support	itemsets
0.9892561983471074	frozenset({'Success'})
0.10193388429752066	frozenset({'DeepSAD'})
0.10180165289256199	frozenset({'RoSAS'})
0.10085950413223141	frozenset({'RCA'})
0.10006611570247934	frozenset({'GOAD'})
0.1	frozenset({'DeepSVDD'})
0.09980165289256199	frozenset({'Success', 'DeepSAD'})
0.09973553719008264	frozenset({'SLAD'})
0.0996198347107438	frozenset({'Success', 'RoSAS'})
0.09953719008264462	frozenset({'ICL'})
0.09952066115702479	frozenset({'DevNet'})
0.0994710743801653	frozenset({'PReNet'})
0.09930578512396694	frozenset({'NeuTraL'})
0.09889256198347107	frozenset({'ICL', 'Success'})
0.0987603305785124	frozenset({'Success', 'PReNet'})
0.09839669421487603	frozenset({'RePEN'})
0.09836363636363636	frozenset({'Success', 'NeuTraL'})
0.09828099173553718	frozenset({'Success', 'DeepSVDD'})
0.09813223140495868	frozenset({'RCA', 'Success'})
0.09780165289256199	frozenset({'Success', 'GOAD'})
0.09778512396694215	frozenset({'Success', 'SLAD'})
0.09723966942148761	frozenset({'Success', 'DevNet'})
0.09512396694214877	frozenset({'Success', 'RePEN'})
0.09160330578512396	frozenset({'DeepSAD', 'RoSAS'})
0.08963636363636364	frozenset({'Success', 'DeepSAD', 'RoSAS'})
0.061140495867768596	frozenset({'RCA', 'RePEN'})
0.0587603305785124	frozenset({'RCA', 'Success', 'RePEN'})
0.050727272727272725	frozenset({'DevNet', 'RoSAS'})
0.04932231404958678	frozenset({'Success', 'DevNet', 'RoSAS'})
0.048363636363636366	frozenset({'DeepSVDD', 'GOAD'})
0.04709090909090909	frozenset({'Success', 'DeepSVDD', 'GOAD'})
0.041801652892561984	frozenset({'DevNet', 'DeepSAD', 'RoSAS'})
0.041801652892561984	frozenset({'DevNet', 'DeepSAD'})
0.04061157024793388	frozenset({'Success', 'DevNet', 'DeepSAD', 'RoSAS'})
0.04061157024793388	frozenset({'Success', 'DevNet', 'DeepSAD'})
0.03251239669421488	frozenset({'GOAD', 'SLAD'})
0.03211570247933884	frozenset({'SLAD', 'RePEN'})
0.031619834710743804	frozenset({'GOAD', 'NeuTraL'})
0.0315702479338843	frozenset({'RCA', 'SLAD'})
0.03127272727272727	frozenset({'Success', 'GOAD', 'NeuTraL'})
0.030826446280991737	frozenset({'Success', 'GOAD', 'SLAD'})
0.030727272727272728	frozenset({'Success', 'SLAD', 'RePEN'})
0.030198347107438017	frozenset({'RCA', 'Success', 'SLAD'})
0.028892561983471076	frozenset({'SLAD', 'NeuTraL'})
0.028743801652892562	frozenset({'DeepSVDD', 'DeepSAD'})
0.028611570247933885	frozenset({'Success', 'SLAD', 'NeuTraL'})
0.027950413223140496	frozenset({'Success', 'DeepSVDD', 'DeepSAD'})
0.027768595041322314	frozenset({'RCA', 'SLAD', 'RePEN'})
0.026776859504132233	frozenset({'RCA', 'DevNet'})
0.026396694214876032	frozenset({'RCA', 'Success', 'SLAD', 'RePEN'})
0.02586776859504132	frozenset({'DeepSVDD', 'RoSAS'})
0.02586776859504132	frozenset({'DeepSVDD', 'DeepSAD', 'RoSAS'})
0.025735537190082643	frozenset({'RCA', 'RoSAS'})
0.025371900826446282	frozenset({'RCA', 'Success', 'DevNet'})
0.025239669421487605	frozenset({'Success', 'DeepSVDD', 'RoSAS'})
0.025239669421487605	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'RoSAS'})
0.025173553719008264	frozenset({'RCA', 'DeepSVDD'})
0.025074380165289255	frozenset({'DeepSVDD', 'SLAD'})
0.02466115702479339	frozenset({'RCA', 'Success', 'RoSAS'})
0.02459504132231405	frozenset({'RCA', 'GOAD'})
0.024297520661157024	frozenset({'PReNet', 'DeepSAD'})
0.024132231404958678	frozenset({'Success', 'PReNet', 'DeepSAD'})
0.02409917355371901	frozenset({'RCA', 'DeepSAD'})
0.023867768595041323	frozenset({'Success', 'DeepSVDD', 'SLAD'})
0.023768595041322314	frozenset({'RCA', 'Success', 'DeepSVDD'})
0.023206611570247934	frozenset({'RCA', 'Success', 'GOAD'})
0.022991735537190083	frozenset({'RCA', 'DeepSAD', 'RoSAS'})
0.02290909090909091	frozenset({'RCA', 'Success', 'DeepSAD'})
0.0228099173553719	frozenset({'DevNet', 'RePEN'})
0.02193388429752066	frozenset({'RCA', 'Success', 'DeepSAD', 'RoSAS'})
0.021206611570247932	frozenset({'Success', 'DevNet', 'RePEN'})
0.020942148760330577	frozenset({'PReNet', 'NeuTraL'})
0.020925619834710744	frozenset({'DeepSAD', 'SLAD'})
0.020710743801652894	frozenset({'Success', 'PReNet', 'NeuTraL'})
0.02014876033057851	frozenset({'Success', 'DeepSAD', 'SLAD'})
0.01990082644628099	frozenset({'DeepSAD', 'GOAD'})
0.019768595041322314	frozenset({'RCA', 'DevNet', 'RoSAS'})
0.019669421487603304	frozenset({'DeepSAD', 'RoSAS', 'SLAD'})
0.019669421487603304	frozenset({'SLAD', 'RoSAS'})
0.019636363636363636	frozenset({'GOAD', 'RoSAS'})
0.019636363636363636	frozenset({'DeepSAD', 'GOAD', 'RoSAS'})
0.019537190082644627	frozenset({'PReNet', 'RoSAS'})
0.019537190082644627	frozenset({'PReNet', 'DeepSAD', 'RoSAS'})
0.01937190082644628	frozenset({'Success', 'PReNet', 'RoSAS'})
0.01937190082644628	frozenset({'Success', 'PReNet', 'DeepSAD', 'RoSAS'})
0.019140495867768594	frozenset({'RoSAS', 'RePEN'})
0.019140495867768594	frozenset({'DevNet', 'RoSAS', 'RePEN'})
0.019107438016528925	frozenset({'Success', 'DeepSAD', 'GOAD'})
0.019008264462809916	frozenset({'RCA', 'DevNet', 'RePEN'})
0.018892561983471074	frozenset({'Success', 'SLAD', 'RoSAS'})
0.018892561983471074	frozenset({'Success', 'DeepSAD', 'RoSAS', 'SLAD'})
0.018876033057851238	frozenset({'Success', 'DeepSAD', 'GOAD', 'RoSAS'})
0.018876033057851238	frozenset({'Success', 'GOAD', 'RoSAS'})
0.018859504132231406	frozenset({'RCA', 'DeepSVDD', 'GOAD'})
0.01869421487603306	frozenset({'RCA', 'Success', 'DevNet', 'RoSAS'})
0.018016528925619835	frozenset({'Success', 'DevNet', 'RoSAS', 'RePEN'})
0.018016528925619835	frozenset({'Success', 'RoSAS', 'RePEN'})
0.017669421487603306	frozenset({'RCA', 'Success', 'DevNet', 'RePEN'})
0.017603305785123965	frozenset({'RCA', 'Success', 'DeepSVDD', 'GOAD'})
0.017024793388429754	frozenset({'RCA', 'DevNet', 'DeepSAD', 'RoSAS'})
0.017024793388429754	frozenset({'RCA', 'DevNet', 'DeepSAD'})
0.01677685950413223	frozenset({'RCA', 'DevNet', 'RoSAS', 'RePEN'})
0.01677685950413223	frozenset({'RCA', 'RoSAS', 'RePEN'})
0.016429752066115702	frozenset({'DevNet', 'DeepSAD', 'RoSAS', 'RePEN'})
0.016429752066115702	frozenset({'DevNet', 'DeepSAD', 'RePEN'})
0.016429752066115702	frozenset({'DeepSAD', 'RePEN'})
0.016429752066115702	frozenset({'DeepSAD', 'RoSAS', 'RePEN'})
0.015966942148760332	frozenset({'RCA', 'Success', 'DevNet', 'DeepSAD'})
0.015966942148760332	frozenset({'RCA', 'RoSAS', 'DeepSAD', 'DevNet', 'Success'})
0.015735537190082645	frozenset({'RCA', 'Success', 'RoSAS', 'RePEN'})
0.015735537190082645	frozenset({'RCA', 'RoSAS', 'DevNet', 'Success', 'RePEN'})
0.015504132231404958	frozenset({'ICL', 'RePEN'})
0.01547107438016529	frozenset({'DeepSVDD', 'DeepSAD', 'SLAD'})
0.015454545454545455	frozenset({'DeepSVDD', 'GOAD', 'SLAD'})
0.015338842975206612	frozenset({'Success', 'DeepSAD', 'RoSAS', 'RePEN'})
0.015338842975206612	frozenset({'Success', 'DeepSAD', 'RePEN'})
0.015338842975206612	frozenset({'RoSAS', 'DeepSAD', 'DevNet', 'Success', 'RePEN'})
0.015338842975206612	frozenset({'Success', 'DevNet', 'DeepSAD', 'RePEN'})
0.015289256198347107	frozenset({'ICL', 'Success', 'RePEN'})
0.015289256198347107	frozenset({'DeepSVDD', 'SLAD', 'RoSAS'})
0.015289256198347107	frozenset({'DeepSVDD', 'DeepSAD', 'RoSAS', 'SLAD'})
0.01484297520661157	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'SLAD'})
0.014826446280991735	frozenset({'GOAD', 'RePEN'})
0.01477685950413223	frozenset({'PReNet', 'SLAD'})
0.01477685950413223	frozenset({'RCA', 'GOAD', 'SLAD'})
0.014694214876033057	frozenset({'Success', 'PReNet', 'SLAD'})
0.014661157024793389	frozenset({'RoSAS', 'DeepSAD', 'SLAD', 'Success', 'DeepSVDD'})
0.014661157024793389	frozenset({'Success', 'DeepSVDD', 'SLAD', 'RoSAS'})
0.01456198347107438	frozenset({'DeepSAD', 'NeuTraL'})
0.014528925619834711	frozenset({'RCA', 'DeepSAD', 'RePEN'})
0.014528925619834711	frozenset({'RCA', 'DevNet', 'DeepSAD', 'RePEN'})
0.014528925619834711	frozenset({'RCA', 'DeepSAD', 'RoSAS', 'RePEN'})
0.014528925619834711	frozenset({'RCA', 'RoSAS', 'DeepSAD', 'DevNet', 'RePEN'})
0.014512396694214877	frozenset({'Success', 'DeepSAD', 'NeuTraL'})
0.014479338842975207	frozenset({'RCA', 'GOAD', 'RePEN'})
0.014247933884297521	frozenset({'Success', 'DeepSVDD', 'GOAD', 'SLAD'})
0.013504132231404958	frozenset({'RCA', 'RoSAS', 'DeepSAD', 'Success', 'RePEN'})
0.013504132231404958	frozenset({'RCA', 'RoSAS', 'DeepSAD', 'DevNet', 'Success', 'RePEN'})
0.013504132231404958	frozenset({'RCA', 'Success', 'DeepSAD', 'RePEN'})
0.013504132231404958	frozenset({'RCA', 'DeepSAD', 'DevNet', 'Success', 'RePEN'})
0.013487603305785124	frozenset({'Success', 'GOAD', 'RePEN'})
0.01347107438016529	frozenset({'RCA', 'Success', 'GOAD', 'SLAD'})
0.013438016528925619	frozenset({'GOAD', 'SLAD', 'RePEN'})
0.013173553719008264	frozenset({'RCA', 'GOAD', 'SLAD', 'RePEN'})
0.01315702479338843	frozenset({'RCA', 'Success', 'GOAD', 'RePEN'})
0.012115702479338844	frozenset({'NeuTraL', 'RoSAS'})
0.012115702479338844	frozenset({'NeuTraL', 'DeepSAD', 'RoSAS'})
0.012115702479338844	frozenset({'Success', 'GOAD', 'SLAD', 'RePEN'})
0.012066115702479339	frozenset({'NeuTraL', 'Success', 'RoSAS'})
0.012066115702479339	frozenset({'NeuTraL', 'Success', 'DeepSAD', 'RoSAS'})
0.011933884297520661	frozenset({'RCA', 'DeepSAD', 'GOAD'})
0.011867768595041323	frozenset({'RCA', 'SLAD', 'Success', 'GOAD', 'RePEN'})
0.01168595041322314	frozenset({'RCA', 'GOAD', 'RoSAS'})
0.01168595041322314	frozenset({'RCA', 'DeepSAD', 'GOAD', 'RoSAS'})
0.011140495867768595	frozenset({'RCA', 'Success', 'DeepSAD', 'GOAD'})
0.01112396694214876	frozenset({'GOAD', 'DeepSVDD', 'DeepSAD'})
0.011024793388429752	frozenset({'RCA', 'DeepSVDD', 'SLAD'})
0.010925619834710744	frozenset({'RCA', 'RoSAS', 'DeepSAD', 'Success', 'GOAD'})
0.010925619834710744	frozenset({'RCA', 'Success', 'GOAD', 'RoSAS'})
0.01090909090909091	frozenset({'PReNet', 'DeepSAD', 'NeuTraL'})
0.010859504132231405	frozenset({'RCA', 'DeepSVDD', 'DeepSAD'})
0.010859504132231405	frozenset({'Success', 'PReNet', 'DeepSAD', 'NeuTraL'})
0.010859504132231405	frozenset({'DeepSAD', 'DeepSVDD', 'GOAD', 'RoSAS'})
0.010859504132231405	frozenset({'DeepSVDD', 'GOAD', 'RoSAS'})
0.010628099173553718	frozenset({'RCA', 'DeepSVDD', 'GOAD', 'SLAD'})
0.010462809917355372	frozenset({'GOAD', 'Success', 'DeepSVDD', 'DeepSAD'})
0.010413223140495868	frozenset({'DeepSVDD', 'PReNet'})
0.010413223140495868	frozenset({'Success', 'DeepSVDD', 'PReNet'})
0.010231404958677685	frozenset({'RoSAS', 'DeepSAD', 'Success', 'DeepSVDD', 'GOAD'})
0.010231404958677685	frozenset({'Success', 'DeepSVDD', 'GOAD', 'RoSAS'})
0.010099173553719008	frozenset({'RCA', 'Success', 'DeepSVDD', 'DeepSAD'})
