support	itemsets
0.9892561983471074	frozenset({'Success'})
0.10193388429752066	frozenset({'DeepSAD'})
0.10180165289256199	frozenset({'RoSAS'})
0.10085950413223141	frozenset({'RCA'})
0.10006611570247934	frozenset({'GOAD'})
0.1	frozenset({'DeepSVDD'})
0.09980165289256199	frozenset({'DeepSAD', 'Success'})
0.09973553719008264	frozenset({'SLAD'})
0.0996198347107438	frozenset({'Success', 'RoSAS'})
0.09953719008264462	frozenset({'ICL'})
0.09952066115702479	frozenset({'DevNet'})
0.0994710743801653	frozenset({'PReNet'})
0.09930578512396694	frozenset({'NeuTraL'})
0.09889256198347107	frozenset({'ICL', 'Success'})
0.0987603305785124	frozenset({'Success', 'PReNet'})
0.09839669421487603	frozenset({'RePEN'})
0.09836363636363636	frozenset({'NeuTraL', 'Success'})
0.09828099173553718	frozenset({'DeepSVDD', 'Success'})
0.09813223140495868	frozenset({'RCA', 'Success'})
0.09780165289256199	frozenset({'Success', 'GOAD'})
0.09778512396694215	frozenset({'Success', 'SLAD'})
0.09723966942148761	frozenset({'Success', 'DevNet'})
0.09512396694214877	frozenset({'RePEN', 'Success'})
0.09160330578512396	frozenset({'DeepSAD', 'RoSAS'})
0.08963636363636364	frozenset({'Success', 'DeepSAD', 'RoSAS'})
0.061140495867768596	frozenset({'RCA', 'RePEN'})
0.0587603305785124	frozenset({'RCA', 'RePEN', 'Success'})
0.050727272727272725	frozenset({'RoSAS', 'DevNet'})
0.04932231404958678	frozenset({'Success', 'RoSAS', 'DevNet'})
0.048363636363636366	frozenset({'DeepSVDD', 'GOAD'})
0.04709090909090909	frozenset({'DeepSVDD', 'Success', 'GOAD'})
0.041801652892561984	frozenset({'DeepSAD', 'DevNet'})
0.041801652892561984	frozenset({'DeepSAD', 'RoSAS', 'DevNet'})
0.04061157024793388	frozenset({'Success', 'DeepSAD', 'RoSAS', 'DevNet'})
0.04061157024793388	frozenset({'DeepSAD', 'Success', 'DevNet'})
0.03251239669421488	frozenset({'SLAD', 'GOAD'})
0.03211570247933884	frozenset({'RePEN', 'SLAD'})
0.031619834710743804	frozenset({'NeuTraL', 'GOAD'})
0.0315702479338843	frozenset({'RCA', 'SLAD'})
0.03127272727272727	frozenset({'NeuTraL', 'Success', 'GOAD'})
0.030826446280991737	frozenset({'Success', 'SLAD', 'GOAD'})
0.030727272727272728	frozenset({'RePEN', 'Success', 'SLAD'})
0.030198347107438017	frozenset({'RCA', 'Success', 'SLAD'})
0.028892561983471076	frozenset({'NeuTraL', 'SLAD'})
0.028743801652892562	frozenset({'DeepSVDD', 'DeepSAD'})
0.028611570247933885	frozenset({'NeuTraL', 'Success', 'SLAD'})
0.027950413223140496	frozenset({'DeepSVDD', 'DeepSAD', 'Success'})
0.027768595041322314	frozenset({'RCA', 'RePEN', 'SLAD'})
0.026776859504132233	frozenset({'RCA', 'DevNet'})
0.026396694214876032	frozenset({'RCA', 'RePEN', 'Success', 'SLAD'})
0.02586776859504132	frozenset({'DeepSVDD', 'DeepSAD', 'RoSAS'})
0.02586776859504132	frozenset({'DeepSVDD', 'RoSAS'})
0.025735537190082643	frozenset({'RCA', 'RoSAS'})
0.025371900826446282	frozenset({'RCA', 'Success', 'DevNet'})
0.025239669421487605	frozenset({'RoSAS', 'DeepSVDD', 'DeepSAD', 'Success'})
0.025239669421487605	frozenset({'RoSAS', 'DeepSVDD', 'Success'})
0.025173553719008264	frozenset({'RCA', 'DeepSVDD'})
0.025074380165289255	frozenset({'DeepSVDD', 'SLAD'})
0.02466115702479339	frozenset({'RCA', 'Success', 'RoSAS'})
0.02459504132231405	frozenset({'RCA', 'GOAD'})
0.024297520661157024	frozenset({'DeepSAD', 'PReNet'})
0.024132231404958678	frozenset({'DeepSAD', 'Success', 'PReNet'})
0.02409917355371901	frozenset({'RCA', 'DeepSAD'})
0.023867768595041323	frozenset({'DeepSVDD', 'Success', 'SLAD'})
0.023768595041322314	frozenset({'RCA', 'DeepSVDD', 'Success'})
0.023206611570247934	frozenset({'RCA', 'Success', 'GOAD'})
0.022991735537190083	frozenset({'RCA', 'DeepSAD', 'RoSAS'})
0.02290909090909091	frozenset({'RCA', 'DeepSAD', 'Success'})
0.0228099173553719	frozenset({'RePEN', 'DevNet'})
0.02193388429752066	frozenset({'RCA', 'Success', 'DeepSAD', 'RoSAS'})
0.021206611570247932	frozenset({'RePEN', 'Success', 'DevNet'})
0.020942148760330577	frozenset({'NeuTraL', 'PReNet'})
0.020925619834710744	frozenset({'DeepSAD', 'SLAD'})
0.020710743801652894	frozenset({'NeuTraL', 'Success', 'PReNet'})
0.02014876033057851	frozenset({'DeepSAD', 'Success', 'SLAD'})
0.01990082644628099	frozenset({'DeepSAD', 'GOAD'})
0.019768595041322314	frozenset({'RCA', 'RoSAS', 'DevNet'})
0.019669421487603304	frozenset({'RoSAS', 'SLAD'})
0.019669421487603304	frozenset({'DeepSAD', 'RoSAS', 'SLAD'})
0.019636363636363636	frozenset({'RoSAS', 'GOAD'})
0.019636363636363636	frozenset({'DeepSAD', 'RoSAS', 'GOAD'})
0.019537190082644627	frozenset({'RoSAS', 'PReNet'})
0.019537190082644627	frozenset({'DeepSAD', 'RoSAS', 'PReNet'})
0.01937190082644628	frozenset({'Success', 'RoSAS', 'PReNet'})
0.01937190082644628	frozenset({'Success', 'DeepSAD', 'RoSAS', 'PReNet'})
0.019140495867768594	frozenset({'RePEN', 'RoSAS'})
0.019140495867768594	frozenset({'RePEN', 'RoSAS', 'DevNet'})
0.019107438016528925	frozenset({'DeepSAD', 'Success', 'GOAD'})
0.019008264462809916	frozenset({'RCA', 'RePEN', 'DevNet'})
0.018892561983471074	frozenset({'Success', 'RoSAS', 'SLAD'})
0.018892561983471074	frozenset({'Success', 'DeepSAD', 'RoSAS', 'SLAD'})
0.018876033057851238	frozenset({'Success', 'RoSAS', 'GOAD'})
0.018876033057851238	frozenset({'RoSAS', 'DeepSAD', 'Success', 'GOAD'})
0.018859504132231406	frozenset({'RCA', 'DeepSVDD', 'GOAD'})
0.01869421487603306	frozenset({'RCA', 'Success', 'RoSAS', 'DevNet'})
0.018016528925619835	frozenset({'Success', 'RePEN', 'RoSAS', 'DevNet'})
0.018016528925619835	frozenset({'Success', 'RePEN', 'RoSAS'})
0.017669421487603306	frozenset({'RCA', 'RePEN', 'Success', 'DevNet'})
0.017603305785123965	frozenset({'RCA', 'DeepSVDD', 'Success', 'GOAD'})
0.017024793388429754	frozenset({'RCA', 'DeepSAD', 'DevNet'})
0.017024793388429754	frozenset({'RCA', 'DeepSAD', 'RoSAS', 'DevNet'})
0.01677685950413223	frozenset({'RCA', 'RePEN', 'RoSAS'})
0.01677685950413223	frozenset({'RCA', 'RePEN', 'RoSAS', 'DevNet'})
0.016429752066115702	frozenset({'RePEN', 'DeepSAD', 'DevNet'})
0.016429752066115702	frozenset({'RePEN', 'DeepSAD', 'RoSAS', 'DevNet'})
0.016429752066115702	frozenset({'RePEN', 'DeepSAD', 'RoSAS'})
0.016429752066115702	frozenset({'RePEN', 'DeepSAD'})
0.015966942148760332	frozenset({'RCA', 'DeepSAD', 'Success', 'DevNet'})
0.015966942148760332	frozenset({'DevNet', 'DeepSAD', 'RoSAS', 'RCA', 'Success'})
0.015735537190082645	frozenset({'RePEN', 'DevNet', 'RoSAS', 'RCA', 'Success'})
0.015735537190082645	frozenset({'Success', 'RCA', 'RePEN', 'RoSAS'})
0.015504132231404958	frozenset({'RePEN', 'ICL'})
0.01547107438016529	frozenset({'DeepSVDD', 'DeepSAD', 'SLAD'})
0.015454545454545455	frozenset({'DeepSVDD', 'SLAD', 'GOAD'})
0.015338842975206612	frozenset({'RePEN', 'DeepSAD', 'Success'})
0.015338842975206612	frozenset({'RePEN', 'DevNet', 'DeepSAD', 'RoSAS', 'Success'})
0.015338842975206612	frozenset({'RePEN', 'DeepSAD', 'Success', 'DevNet'})
0.015338842975206612	frozenset({'Success', 'RePEN', 'DeepSAD', 'RoSAS'})
0.015289256198347107	frozenset({'DeepSVDD', 'DeepSAD', 'RoSAS', 'SLAD'})
0.015289256198347107	frozenset({'DeepSVDD', 'RoSAS', 'SLAD'})
0.015289256198347107	frozenset({'RePEN', 'Success', 'ICL'})
0.01484297520661157	frozenset({'DeepSVDD', 'DeepSAD', 'Success', 'SLAD'})
0.014826446280991735	frozenset({'RePEN', 'GOAD'})
0.01477685950413223	frozenset({'RCA', 'SLAD', 'GOAD'})
0.01477685950413223	frozenset({'SLAD', 'PReNet'})
0.014694214876033057	frozenset({'SLAD', 'Success', 'PReNet'})
0.014661157024793389	frozenset({'DeepSAD', 'SLAD', 'DeepSVDD', 'RoSAS', 'Success'})
0.014661157024793389	frozenset({'RoSAS', 'DeepSVDD', 'Success', 'SLAD'})
0.01456198347107438	frozenset({'NeuTraL', 'DeepSAD'})
0.014528925619834711	frozenset({'RCA', 'RePEN', 'DeepSAD', 'DevNet'})
0.014528925619834711	frozenset({'RCA', 'RePEN', 'DeepSAD', 'RoSAS'})
0.014528925619834711	frozenset({'RCA', 'RePEN', 'DeepSAD'})
0.014528925619834711	frozenset({'RePEN', 'DevNet', 'DeepSAD', 'RoSAS', 'RCA'})
0.014512396694214877	frozenset({'NeuTraL', 'DeepSAD', 'Success'})
0.014479338842975207	frozenset({'RCA', 'RePEN', 'GOAD'})
0.014247933884297521	frozenset({'DeepSVDD', 'Success', 'SLAD', 'GOAD'})
0.013504132231404958	frozenset({'RePEN', 'DevNet', 'DeepSAD', 'RoSAS', 'RCA', 'Success'})
0.013504132231404958	frozenset({'RePEN', 'DeepSAD', 'RoSAS', 'RCA', 'Success'})
0.013504132231404958	frozenset({'RePEN', 'DevNet', 'DeepSAD', 'RCA', 'Success'})
0.013504132231404958	frozenset({'RCA', 'RePEN', 'DeepSAD', 'Success'})
0.013487603305785124	frozenset({'RePEN', 'Success', 'GOAD'})
0.01347107438016529	frozenset({'RCA', 'Success', 'SLAD', 'GOAD'})
0.013438016528925619	frozenset({'RePEN', 'SLAD', 'GOAD'})
0.013173553719008264	frozenset({'RCA', 'RePEN', 'SLAD', 'GOAD'})
0.01315702479338843	frozenset({'RCA', 'RePEN', 'Success', 'GOAD'})
0.012115702479338844	frozenset({'NeuTraL', 'DeepSAD', 'RoSAS'})
0.012115702479338844	frozenset({'NeuTraL', 'RoSAS'})
0.012115702479338844	frozenset({'RePEN', 'Success', 'SLAD', 'GOAD'})
0.012066115702479339	frozenset({'NeuTraL', 'Success', 'DeepSAD', 'RoSAS'})
0.012066115702479339	frozenset({'NeuTraL', 'Success', 'RoSAS'})
0.011933884297520661	frozenset({'RCA', 'DeepSAD', 'GOAD'})
0.011867768595041323	frozenset({'RePEN', 'SLAD', 'RCA', 'Success', 'GOAD'})
0.01168595041322314	frozenset({'RCA', 'DeepSAD', 'RoSAS', 'GOAD'})
0.01168595041322314	frozenset({'RCA', 'RoSAS', 'GOAD'})
0.011140495867768595	frozenset({'RCA', 'DeepSAD', 'Success', 'GOAD'})
0.01112396694214876	frozenset({'DeepSVDD', 'DeepSAD', 'GOAD'})
0.011024793388429752	frozenset({'RCA', 'DeepSVDD', 'SLAD'})
0.010925619834710744	frozenset({'RCA', 'Success', 'RoSAS', 'GOAD'})
0.010925619834710744	frozenset({'DeepSAD', 'RoSAS', 'RCA', 'Success', 'GOAD'})
0.01090909090909091	frozenset({'NeuTraL', 'DeepSAD', 'PReNet'})
0.010859504132231405	frozenset({'NeuTraL', 'DeepSAD', 'Success', 'PReNet'})
0.010859504132231405	frozenset({'DeepSVDD', 'DeepSAD', 'RoSAS', 'GOAD'})
0.010859504132231405	frozenset({'RCA', 'DeepSVDD', 'DeepSAD'})
0.010859504132231405	frozenset({'DeepSVDD', 'RoSAS', 'GOAD'})
0.010628099173553718	frozenset({'RCA', 'DeepSVDD', 'SLAD', 'GOAD'})
0.010462809917355372	frozenset({'DeepSVDD', 'DeepSAD', 'Success', 'GOAD'})
0.010413223140495868	frozenset({'DeepSVDD', 'PReNet'})
0.010413223140495868	frozenset({'DeepSVDD', 'Success', 'PReNet'})
0.010231404958677685	frozenset({'DeepSAD', 'DeepSVDD', 'RoSAS', 'Success', 'GOAD'})
0.010231404958677685	frozenset({'RoSAS', 'DeepSVDD', 'Success', 'GOAD'})
0.010099173553719008	frozenset({'RCA', 'DeepSVDD', 'DeepSAD', 'Success'})
