antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'PReNet', 'RoSAS', 'DeepSAD', 'SLAD', 'GOAD'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'DeepSVDD', 'RoSAS', 'PReNet'})	frozenset({'Success'})	0.005768595041322314	0.9892561983471074	0.005768595041322314	1.0	1.0108604845446951	6.197664093982643e-05	inf	0.010806137886319416
frozenset({'ICL', 'PReNet'})	frozenset({'Success'})	0.002512396694214876	0.9892561983471074	0.002512396694214876	1.0	1.0108604845446951	2.6992691756027448e-05	inf	0.010770862331808784
frozenset({'RCA', 'ICL', 'SLAD'})	frozenset({'Success'})	0.0027107438016528928	0.9892561983471074	0.0027107438016528928	1.0	1.0108604845446951	2.912369373676664e-05	inf	0.010773004508088048
frozenset({'RCA', 'ICL', 'SLAD', 'RePEN'})	frozenset({'Success'})	0.0027107438016528928	0.9892561983471074	0.0027107438016528928	1.0	1.0108604845446951	2.912369373676664e-05	inf	0.010773004508088048
frozenset({'ICL', 'SLAD', 'RePEN'})	frozenset({'Success'})	0.002776859504132231	0.9892561983471074	0.002776859504132231	1.0	1.0108604845446951	2.9834027730346515e-05	inf	0.010773718756215689
frozenset({'DeepSVDD', 'GOAD', 'PReNet'})	frozenset({'Success'})	0.002776859504132231	0.9892561983471074	0.002776859504132231	1.0	1.0108604845446951	2.9834027730346515e-05	inf	0.010773718756215689
frozenset({'GOAD', 'PReNet', 'DeepSAD', 'NeuTraL'})	frozenset({'Success'})	0.003652892561983471	0.9892561983471074	0.003652892561983471	1.0	1.0108604845446951	3.924595314527693e-05	inf	0.01078319149289138
frozenset({'NeuTraL', 'PReNet', 'GOAD', 'RoSAS'})	frozenset({'Success'})	0.003652892561983471	0.9892561983471074	0.003652892561983471	1.0	1.0108604845446951	3.924595314527693e-05	inf	0.01078319149289138
frozenset({'DeepSVDD', 'SLAD', 'PReNet'})	frozenset({'Success'})	0.006231404958677686	0.9892561983471074	0.006231404958677686	1.0	1.0108604845446951	6.694897889488426e-05	inf	0.010811170433943753
frozenset({'PReNet', 'NeuTraL', 'RoSAS', 'DeepSAD', 'GOAD'})	frozenset({'Success'})	0.003652892561983471	0.9892561983471074	0.003652892561983471	1.0	1.0108604845446951	3.924595314527693e-05	inf	0.01078319149289138
frozenset({'DeepSVDD', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.006016528925619834	0.9892561983471074	0.006016528925619834	1.0	1.0108604845446951	6.464039341574999e-05	inf	0.010808833311161318
frozenset({'PReNet', 'RoSAS', 'DeepSAD', 'SLAD', 'DeepSVDD'})	frozenset({'Success'})	0.004776859504132231	0.9892561983471074	0.004776859504132231	1.0	1.0108604845446951	5.132163103613134e-05	inf	0.010795369616847406
frozenset({'DeepSVDD', 'PReNet', 'SLAD', 'RoSAS'})	frozenset({'Success'})	0.004776859504132231	0.9892561983471074	0.004776859504132231	1.0	1.0108604845446951	5.132163103613134e-05	inf	0.010795369616847406
frozenset({'DeepSVDD', 'PReNet', 'DeepSAD', 'SLAD'})	frozenset({'Success'})	0.00484297520661157	0.9892561983471074	0.00484297520661157	1.0	1.0108604845446951	5.203196502971078e-05	inf	0.01079608683375681
frozenset({'PReNet', 'GOAD', 'NeuTraL'})	frozenset({'Success'})	0.0049586776859504135	0.9892561983471074	0.0049586776859504135	1.0	1.0108604845446951	5.3275049518475455e-05	inf	0.010797342192691017
frozenset({'RoSAS', 'GOAD', 'NeuTraL'})	frozenset({'Success'})	0.004991735537190083	0.9892561983471074	0.004991735537190083	1.0	1.0108604845446951	5.363021651526561e-05	inf	0.010797700920296407
frozenset({'DeepSAD', 'GOAD', 'NeuTraL'})	frozenset({'Success'})	0.004991735537190083	0.9892561983471074	0.004991735537190083	1.0	1.0108604845446951	5.363021651526561e-05	inf	0.010797700920296407
frozenset({'NeuTraL', 'GOAD', 'DeepSAD', 'RoSAS'})	frozenset({'Success'})	0.004991735537190083	0.9892561983471074	0.004991735537190083	1.0	1.0108604845446951	5.363021651526561e-05	inf	0.010797700920296407
frozenset({'ICL', 'SLAD', 'NeuTraL'})	frozenset({'Success'})	0.005917355371900826	0.9892561983471074	0.005917355371900826	1.0	1.0108604845446951	6.357489242538126e-05	inf	0.010807754979881031
frozenset({'PReNet', 'GOAD', 'RoSAS'})	frozenset({'Success'})	0.005537190082644628	0.9892561983471074	0.005537190082644628	1.0	1.0108604845446951	5.949047196229795e-05	inf	0.01080362336906845
frozenset({'GOAD', 'PReNet', 'DeepSAD'})	frozenset({'Success'})	0.005537190082644628	0.9892561983471074	0.005537190082644628	1.0	1.0108604845446951	5.949047196229795e-05	inf	0.01080362336906845
frozenset({'GOAD', 'PReNet', 'DeepSAD', 'RoSAS'})	frozenset({'Success'})	0.005537190082644628	0.9892561983471074	0.005537190082644628	1.0	1.0108604845446951	5.949047196229795e-05	inf	0.01080362336906845
frozenset({'ICL', 'DeepSVDD'})	frozenset({'Success'})	0.0021487603305785125	0.9892561983471074	0.0021487603305785125	1.0	1.0108604845446951	2.308585479133922e-05	inf	0.010766937220473666
frozenset({'GOAD', 'PReNet', 'DeepSVDD', 'RoSAS'})	frozenset({'Success'})	0.0017355371900826446	0.9892561983471074	0.0017355371900826446	1.0	1.0108604845446951	1.864626733146641e-05	inf	0.010762480337776294
frozenset({'PReNet', 'RoSAS', 'DeepSAD', 'DeepSVDD', 'GOAD'})	frozenset({'Success'})	0.0017355371900826446	0.9892561983471074	0.0017355371900826446	1.0	1.0108604845446951	1.864626733146641e-05	inf	0.010762480337776294
frozenset({'GOAD', 'DeepSVDD', 'PReNet', 'DeepSAD'})	frozenset({'Success'})	0.0017355371900826446	0.9892561983471074	0.0017355371900826446	1.0	1.0108604845446951	1.864626733146641e-05	inf	0.010762480337776294
frozenset({'DeepSVDD', 'PReNet'})	frozenset({'Success'})	0.010413223140495868	0.9892561983471074	0.010413223140495868	1.0	1.0108604845446951	0.00011187760398879802	inf	0.010856856522465288
frozenset({'ICL', 'SLAD'})	frozenset({'Success'})	0.01	0.9892561983471074	0.01	1.0	1.0108604845446951	0.00010743801652892543	inf	0.010852324901911658
frozenset({'ICL', 'NeuTraL'})	frozenset({'Success'})	0.0091900826446281	0.9892561983471074	0.0091900826446281	1.0	1.0108604845446951	9.873642510757445e-05	inf	0.010843453890297592
frozenset({'GOAD', 'DeepSVDD', 'PReNet', 'SLAD'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'GOAD', 'PReNet', 'DeepSAD', 'SLAD'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'DeepSVDD', 'NeuTraL'})	frozenset({'Success'})	0.008148760330578512	0.9892561983471074	0.008148760330578512	1.0	1.0108604845446951	8.754866470869413e-05	inf	0.01083206959188087
frozenset({'GOAD', 'PReNet', 'SLAD', 'RoSAS'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'PReNet', 'DeepSAD', 'SLAD', 'DeepSVDD', 'GOAD'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'PReNet', 'RoSAS', 'SLAD', 'DeepSVDD', 'GOAD'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'PReNet', 'RoSAS', 'DeepSAD', 'SLAD', 'DeepSVDD', 'GOAD'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'PReNet', 'GOAD', 'SLAD'})	frozenset({'Success'})	0.001024793388429752	0.9892561983471074	0.001024793388429752	1.0	1.0108604845446951	1.1010176900485029e-05	inf	0.010754823124524394
frozenset({'GOAD', 'PReNet', 'DeepSVDD', 'NeuTraL'})	frozenset({'Success'})	0.001206611570247934	0.9892561983471074	0.001206611570247934	1.0	1.0108604845446951	1.2963595382829143e-05	inf	0.010756780909196302
frozenset({'ICL', 'PReNet', 'SLAD', 'NeuTraL'})	frozenset({'Success'})	0.001322314049586777	0.9892561983471074	0.001322314049586777	1.0	1.0108604845446951	1.4206679871593382e-05	inf	0.010758027143329957
frozenset({'ICL', 'PReNet', 'NeuTraL'})	frozenset({'Success'})	0.0014545454545454545	0.9892561983471074	0.0014545454545454545	1.0	1.0108604845446951	1.5627347858752916e-05	inf	0.010759451764550157
