support	itemsets
0.946	frozenset({'Success'})
0.122	frozenset({'GOAD'})
0.122	frozenset({'DeepSVDD'})
0.12	frozenset({'DeepSVDD', 'Success'})
0.116	frozenset({'GOAD', 'Success'})
0.108	frozenset({'RCA'})
0.108	frozenset({'SLAD'})
0.106	frozenset({'Success', 'RCA'})
0.106	frozenset({'SLAD', 'Success'})
0.1	frozenset({'DevNet'})
0.098	frozenset({'DeepSAD'})
0.098	frozenset({'DevNet', 'Success'})
0.096	frozenset({'ICL'})
0.096	frozenset({'Success', 'DeepSAD'})
0.094	frozenset({'RePEN', 'Success'})
0.094	frozenset({'RePEN'})
0.094	frozenset({'PReNet'})
0.092	frozenset({'RoSAS'})
0.09	frozenset({'NeuTraL'})
0.086	frozenset({'ICL', 'Success'})
0.084	frozenset({'Success', 'PReNet'})
0.084	frozenset({'RoSAS', 'Success'})
0.082	frozenset({'RePEN', 'Success', 'RCA'})
0.082	frozenset({'RePEN', 'RCA'})
0.08	frozenset({'NeuTraL', 'Success'})
0.08	frozenset({'DeepSVDD', 'RCA'})
0.08	frozenset({'Success', 'DeepSVDD', 'RCA'})
0.074	frozenset({'RePEN', 'DeepSVDD'})
0.074	frozenset({'RePEN', 'DeepSVDD', 'Success'})
0.07	frozenset({'RePEN', 'DeepSVDD', 'RCA'})
0.07	frozenset({'RePEN', 'Success', 'DeepSVDD', 'RCA'})
0.062	frozenset({'DeepSAD', 'RCA'})
0.062	frozenset({'Success', 'DeepSAD', 'RCA'})
0.06	frozenset({'RePEN', 'DeepSAD'})
0.06	frozenset({'RePEN', 'Success', 'DeepSAD'})
0.058	frozenset({'DeepSVDD', 'DeepSAD'})
0.058	frozenset({'Success', 'DeepSVDD', 'DeepSAD'})
0.054	frozenset({'RePEN', 'Success', 'DeepSVDD', 'DeepSAD'})
0.054	frozenset({'RePEN', 'Success', 'DeepSAD', 'RCA'})
0.054	frozenset({'RePEN', 'DeepSAD', 'RCA'})
0.054	frozenset({'RePEN', 'DeepSVDD', 'DeepSAD'})
0.052	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'RCA'})
0.052	frozenset({'DeepSVDD', 'DeepSAD', 'RCA'})
0.05	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.05	frozenset({'RePEN', 'DeepSVDD', 'DeepSAD', 'RCA'})
0.032	frozenset({'NeuTraL', 'PReNet'})
0.03	frozenset({'DeepSVDD', 'PReNet'})
0.028	frozenset({'DeepSVDD', 'Success', 'PReNet'})
0.028	frozenset({'NeuTraL', 'Success', 'PReNet'})
0.026	frozenset({'Success', 'Quartile', 'RCA'})
0.026	frozenset({'RePEN', 'Quartile', 'RCA'})
0.026	frozenset({'Quartile', 'DeepSVDD'})
0.026	frozenset({'DeepSAD', 'PReNet'})
0.026	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Success'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'Success'})
0.026	frozenset({'Success', 'RCA', 'PReNet'})
0.026	frozenset({'RePEN', 'Quartile', 'DeepSVDD', 'RCA'})
0.026	frozenset({'Success', 'Quartile', 'DeepSVDD', 'RCA'})
0.026	frozenset({'RCA', 'PReNet'})
0.026	frozenset({'RePEN', 'Quartile', 'DeepSVDD', 'Success'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'RCA'})
0.026	frozenset({'RePEN', 'Success', 'PReNet'})
0.026	frozenset({'RePEN', 'Quartile'})
0.026	frozenset({'RePEN', 'Quartile', 'Success'})
0.026	frozenset({'Quartile'})
0.026	frozenset({'RePEN', 'Success', 'Quartile', 'RCA'})
0.026	frozenset({'Quartile', 'Success'})
0.026	frozenset({'RePEN', 'Quartile', 'DeepSVDD'})
0.026	frozenset({'Quartile', 'RCA'})
0.026	frozenset({'RePEN', 'PReNet'})
0.024	frozenset({'SLAD', 'GOAD'})
0.024	frozenset({'Success', 'DeepSAD', 'PReNet'})
0.024	frozenset({'RePEN', 'DevNet'})
0.024	frozenset({'Success', 'DevNet', 'RCA'})
0.024	frozenset({'DevNet', 'RCA'})
0.024	frozenset({'RoSAS', 'DevNet'})
0.024	frozenset({'RePEN', 'DevNet', 'Success'})
0.024	frozenset({'ICL', 'PReNet'})
0.024	frozenset({'NeuTraL', 'GOAD'})
0.022	frozenset({'RePEN', 'DeepSVDD', 'PReNet'})
0.022	frozenset({'NeuTraL', 'GOAD', 'Success'})
0.022	frozenset({'SLAD', 'GOAD', 'Success'})
0.022	frozenset({'RePEN', 'RCA', 'PReNet'})
0.022	frozenset({'RePEN', 'Success', 'RCA', 'PReNet'})
0.022	frozenset({'RePEN', 'DeepSVDD', 'Success', 'PReNet'})
0.022	frozenset({'RoSAS', 'DevNet', 'Success'})
0.02	frozenset({'RePEN', 'Success', 'DevNet', 'RCA'})
0.02	frozenset({'DeepSVDD', 'DevNet', 'RCA'})
0.02	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'PReNet'})
0.02	frozenset({'DeepSVDD', 'RCA', 'PReNet'})
0.02	frozenset({'RePEN', 'DeepSVDD', 'DevNet', 'RCA'})
0.02	frozenset({'RePEN', 'DeepSVDD', 'DevNet'})
0.02	frozenset({'RePEN', 'DeepSVDD', 'DevNet', 'Success'})
0.02	frozenset({'Success', 'DeepSVDD', 'RCA', 'PReNet'})
0.02	frozenset({'DeepSVDD', 'DeepSAD', 'PReNet'})
0.02	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'Success', 'DevNet'})
0.02	frozenset({'RePEN', 'DevNet', 'RCA'})
0.02	frozenset({'DeepSVDD', 'DevNet', 'Success'})
0.02	frozenset({'Success', 'DeepSVDD', 'DevNet', 'RCA'})
0.02	frozenset({'DeepSVDD', 'DevNet'})
0.02	frozenset({'ICL', 'DeepSVDD'})
0.018	frozenset({'Quartile', 'DevNet', 'RCA'})
0.018	frozenset({'RePEN', 'Quartile', 'DevNet', 'RCA'})
0.018	frozenset({'Success', 'Quartile', 'DevNet', 'RCA'})
0.018	frozenset({'RePEN', 'DeepSAD', 'PReNet'})
0.018	frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'Success'})
0.018	frozenset({'ICL', 'DeepSVDD', 'Success'})
0.018	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'Success', 'DevNet'})
0.018	frozenset({'Quartile', 'DevNet', 'Success'})
0.018	frozenset({'RePEN', 'Quartile', 'DevNet', 'Success'})
0.018	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Success', 'DevNet'})
0.018	frozenset({'RePEN', 'DeepSVDD', 'DeepSAD', 'PReNet'})
0.018	frozenset({'Quartile', 'DevNet'})
0.018	frozenset({'ICL', 'Success', 'PReNet'})
0.018	frozenset({'ICL', 'NeuTraL'})
0.018	frozenset({'RePEN', 'Success', 'DeepSAD', 'PReNet'})
0.018	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'DevNet'})
0.018	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'Success'})
0.018	frozenset({'Quartile', 'DeepSVDD', 'DevNet'})
