antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'PReNet', 'NeuTraL', 'RePEN', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'Quartile', 'RCA', 'PReNet', 'Z_score', 'DeepSAD'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'DeepSVDD', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'PReNet', 'DeepSVDD', 'RePEN', 'Z_score', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'PReNet', 'DeepSVDD', 'RePEN', 'Z_score', 'DeepSAD'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'PReNet', 'DeepSVDD', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'RePEN', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'RCA', 'PReNet', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'RePEN', 'Z_score', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'PReNet', 'DeepSVDD', 'RePEN', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'RePEN', 'Z_score', 'DeepSAD'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'PReNet', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'Z_score', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'Z_score', 'DeepSAD'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'DeepSVDD', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'PReNet', 'DeepSVDD', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'DeepSVDD', 'Z_score', 'DeepSAD'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'PReNet', 'DeepSVDD', 'RePEN', 'Z_score', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'Quartile', 'RCA', 'PReNet', 'Z_score', 'DevNet'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
frozenset({'RePEN', 'DeepSVDD', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'Quartile', 'PReNet', 'DeepSVDD', 'RePEN', 'DeepSAD'})	frozenset({'Success'})	0.004	0.946	0.004	1.0	1.0570824524312896	0.00021600000000000005	inf	0.05421686746987953
