support	itemsets
0.946	frozenset({'Success'})
0.122	frozenset({'DeepSVDD'})
0.122	frozenset({'GOAD'})
0.12	frozenset({'DeepSVDD', 'Success'})
0.116	frozenset({'Success', 'GOAD'})
0.108	frozenset({'RCA'})
0.108	frozenset({'SLAD'})
0.106	frozenset({'Success', 'RCA'})
0.106	frozenset({'SLAD', 'Success'})
0.1	frozenset({'DevNet'})
0.098	frozenset({'Success', 'DevNet'})
0.098	frozenset({'DeepSAD'})
0.096	frozenset({'DeepSAD', 'Success'})
0.096	frozenset({'ICL'})
0.094	frozenset({'PReNet'})
0.094	frozenset({'Success', 'RePEN'})
0.094	frozenset({'RePEN'})
0.092	frozenset({'RoSAS'})
0.09	frozenset({'NeuTraL'})
0.086	frozenset({'Success', 'ICL'})
0.084	frozenset({'PReNet', 'Success'})
0.084	frozenset({'Success', 'RoSAS'})
0.082	frozenset({'Success', 'RePEN', 'RCA'})
0.082	frozenset({'RePEN', 'RCA'})
0.08	frozenset({'NeuTraL', 'Success'})
0.08	frozenset({'DeepSVDD', 'RCA'})
0.08	frozenset({'DeepSVDD', 'Success', 'RCA'})
0.074	frozenset({'DeepSVDD', 'Success', 'RePEN'})
0.074	frozenset({'DeepSVDD', 'RePEN'})
0.07	frozenset({'DeepSVDD', 'Success', 'RePEN', 'RCA'})
0.07	frozenset({'DeepSVDD', 'RePEN', 'RCA'})
0.062	frozenset({'DeepSAD', 'RCA'})
0.062	frozenset({'DeepSAD', 'Success', 'RCA'})
0.06	frozenset({'DeepSAD', 'RePEN'})
0.06	frozenset({'DeepSAD', 'Success', 'RePEN'})
0.058	frozenset({'DeepSAD', 'DeepSVDD'})
0.058	frozenset({'DeepSAD', 'DeepSVDD', 'Success'})
0.054	frozenset({'DeepSAD', 'Success', 'RePEN', 'RCA'})
0.054	frozenset({'DeepSAD', 'RePEN', 'RCA'})
0.054	frozenset({'DeepSAD', 'DeepSVDD', 'Success', 'RePEN'})
0.054	frozenset({'DeepSAD', 'DeepSVDD', 'RePEN'})
0.052	frozenset({'DeepSAD', 'DeepSVDD', 'RCA'})
0.052	frozenset({'DeepSAD', 'DeepSVDD', 'Success', 'RCA'})
0.05	frozenset({'DeepSAD', 'DeepSVDD', 'RePEN', 'RCA'})
0.05	frozenset({'Success', 'RePEN', 'DeepSAD', 'DeepSVDD', 'RCA'})
0.032	frozenset({'PReNet', 'NeuTraL'})
0.03	frozenset({'DeepSVDD', 'PReNet'})
0.028	frozenset({'DeepSVDD', 'Success', 'PReNet'})
0.028	frozenset({'PReNet', 'Success', 'NeuTraL'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'Success', 'RCA'})
0.026	frozenset({'Quartile', 'RePEN'})
0.026	frozenset({'PReNet', 'RePEN'})
0.026	frozenset({'Quartile', 'RCA'})
0.026	frozenset({'PReNet', 'Success', 'RePEN'})
0.026	frozenset({'Quartile', 'DeepSVDD'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'Success', 'RePEN'})
0.026	frozenset({'Quartile', 'Success', 'RePEN'})
0.026	frozenset({'Success', 'DeepSVDD', 'RePEN', 'Quartile', 'RCA'})
0.026	frozenset({'Quartile', 'Success', 'RCA'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'Success'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'RePEN', 'RCA'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'RePEN'})
0.026	frozenset({'Quartile', 'DeepSVDD', 'RCA'})
0.026	frozenset({'Quartile', 'RePEN', 'RCA'})
0.026	frozenset({'Quartile', 'Success', 'RePEN', 'RCA'})
0.026	frozenset({'Quartile', 'Success'})
0.026	frozenset({'PReNet', 'Success', 'RCA'})
0.026	frozenset({'Quartile'})
0.026	frozenset({'DeepSAD', 'PReNet'})
0.026	frozenset({'PReNet', 'RCA'})
0.024	frozenset({'Success', 'DevNet', 'RCA'})
0.024	frozenset({'NeuTraL', 'GOAD'})
0.024	frozenset({'PReNet', 'ICL'})
0.024	frozenset({'DeepSAD', 'PReNet', 'Success'})
0.024	frozenset({'SLAD', 'GOAD'})
0.024	frozenset({'RoSAS', 'DevNet'})
0.024	frozenset({'DevNet', 'RCA'})
0.024	frozenset({'RePEN', 'DevNet'})
0.024	frozenset({'Success', 'RePEN', 'DevNet'})
0.022	frozenset({'PReNet', 'RePEN', 'RCA'})
0.022	frozenset({'DeepSVDD', 'PReNet', 'RePEN'})
0.022	frozenset({'SLAD', 'Success', 'GOAD'})
0.022	frozenset({'DeepSVDD', 'Success', 'PReNet', 'RePEN'})
0.022	frozenset({'PReNet', 'Success', 'RePEN', 'RCA'})
0.022	frozenset({'Success', 'RoSAS', 'DevNet'})
