support	itemsets
0.946	frozenset({'Success'})
0.122	frozenset({'GOAD'})
0.122	frozenset({'DeepSVDD'})
0.12	frozenset({'Success', 'DeepSVDD'})
0.116	frozenset({'GOAD', 'Success'})
0.108	frozenset({'RCA'})
0.108	frozenset({'SLAD'})
0.106	frozenset({'SLAD', 'Success'})
0.106	frozenset({'RCA', 'Success'})
0.1	frozenset({'DevNet'})
0.098	frozenset({'DeepSAD'})
0.098	frozenset({'Success', 'DevNet'})
0.096	frozenset({'ICL'})
0.096	frozenset({'DeepSAD', 'Success'})
0.094	frozenset({'Success', 'RePEN'})
0.094	frozenset({'RePEN'})
0.094	frozenset({'PReNet'})
0.092	frozenset({'RoSAS'})
0.09	frozenset({'NeuTraL'})
0.086	frozenset({'Success', 'ICL'})
0.084	frozenset({'PReNet', 'Success'})
0.084	frozenset({'Success', 'RoSAS'})
0.082	frozenset({'RCA', 'Success', 'RePEN'})
0.082	frozenset({'RCA', 'RePEN'})
0.08	frozenset({'NeuTraL', 'Success'})
0.08	frozenset({'RCA', 'Success', 'DeepSVDD'})
0.08	frozenset({'RCA', 'DeepSVDD'})
0.074	frozenset({'RePEN', 'Success', 'DeepSVDD'})
0.074	frozenset({'RePEN', 'DeepSVDD'})
0.07	frozenset({'RePEN', 'RCA', 'DeepSVDD'})
0.07	frozenset({'RePEN', 'RCA', 'Success', 'DeepSVDD'})
0.062	frozenset({'DeepSAD', 'RCA'})
0.062	frozenset({'DeepSAD', 'RCA', 'Success'})
0.06	frozenset({'DeepSAD', 'Success', 'RePEN'})
0.06	frozenset({'DeepSAD', 'RePEN'})
0.058	frozenset({'DeepSAD', 'Success', 'DeepSVDD'})
0.058	frozenset({'DeepSAD', 'DeepSVDD'})
0.054	frozenset({'DeepSAD', 'RCA', 'Success', 'RePEN'})
0.054	frozenset({'RePEN', 'DeepSAD', 'DeepSVDD'})
0.054	frozenset({'DeepSAD', 'RCA', 'RePEN'})
0.054	frozenset({'RePEN', 'DeepSAD', 'Success', 'DeepSVDD'})
0.052	frozenset({'DeepSAD', 'RCA', 'Success', 'DeepSVDD'})
0.052	frozenset({'DeepSAD', 'RCA', 'DeepSVDD'})
0.05	frozenset({'RePEN', 'DeepSAD', 'RCA', 'DeepSVDD'})
0.05	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'RePEN'})
0.032	frozenset({'NeuTraL', 'PReNet'})
0.03	frozenset({'PReNet', 'DeepSVDD'})
0.028	frozenset({'PReNet', 'Success', 'DeepSVDD'})
0.028	frozenset({'NeuTraL', 'PReNet', 'Success'})
0.026	frozenset({'Quartile', 'Success', 'DeepSVDD'})
0.026	frozenset({'DeepSVDD', 'RePEN', 'Quartile'})
0.026	frozenset({'RePEN', 'RCA', 'Quartile'})
0.026	frozenset({'Success', 'Quartile'})
0.026	frozenset({'PReNet', 'RCA', 'Success'})
0.026	frozenset({'RePEN', 'RCA', 'Success', 'Quartile'})
0.026	frozenset({'PReNet', 'DeepSAD'})
0.026	frozenset({'RCA', 'Success', 'Quartile'})
0.026	frozenset({'PReNet', 'Success', 'RePEN'})
0.026	frozenset({'Quartile', 'DeepSVDD'})
0.026	frozenset({'RCA', 'Quartile'})
0.026	frozenset({'DeepSVDD', 'Success', 'RePEN', 'Quartile'})
0.026	frozenset({'Success', 'Quartile', 'DeepSVDD', 'RCA', 'RePEN'})
0.026	frozenset({'PReNet', 'RePEN'})
0.026	frozenset({'RePEN', 'Quartile'})
0.026	frozenset({'Quartile', 'RCA', 'Success', 'DeepSVDD'})
0.026	frozenset({'Quartile'})
0.026	frozenset({'RePEN', 'Success', 'Quartile'})
0.026	frozenset({'DeepSVDD', 'RCA', 'RePEN', 'Quartile'})
0.026	frozenset({'PReNet', 'RCA'})
0.026	frozenset({'Quartile', 'RCA', 'DeepSVDD'})
0.024	frozenset({'RCA', 'Success', 'DevNet'})
0.024	frozenset({'PReNet', 'DeepSAD', 'Success'})
0.024	frozenset({'NeuTraL', 'GOAD'})
0.024	frozenset({'Success', 'DevNet', 'RePEN'})
0.024	frozenset({'SLAD', 'GOAD'})
0.024	frozenset({'DevNet', 'RoSAS'})
0.024	frozenset({'DevNet', 'RePEN'})
0.024	frozenset({'PReNet', 'ICL'})
0.024	frozenset({'RCA', 'DevNet'})
0.022	frozenset({'PReNet', 'RCA', 'Success', 'RePEN'})
0.022	frozenset({'RePEN', 'PReNet', 'DeepSVDD'})
0.022	frozenset({'Success', 'DevNet', 'RoSAS'})
0.022	frozenset({'PReNet', 'RCA', 'RePEN'})
0.022	frozenset({'NeuTraL', 'GOAD', 'Success'})
0.022	frozenset({'RePEN', 'PReNet', 'Success', 'DeepSVDD'})
0.022	frozenset({'SLAD', 'GOAD', 'Success'})
0.02	frozenset({'DevNet', 'RCA', 'Success', 'RePEN'})
0.02	frozenset({'ICL', 'DeepSVDD'})
0.02	frozenset({'PReNet', 'RCA', 'Success', 'DeepSVDD'})
0.02	frozenset({'DevNet', 'RCA', 'Success', 'DeepSVDD'})
0.02	frozenset({'RePEN', 'RCA', 'DevNet', 'DeepSVDD'})
0.02	frozenset({'DevNet', 'DeepSVDD'})
0.02	frozenset({'RCA', 'DevNet', 'RePEN'})
0.02	frozenset({'RePEN', 'DevNet', 'DeepSVDD'})
0.02	frozenset({'PReNet', 'RCA', 'DeepSVDD'})
0.02	frozenset({'RePEN', 'Success', 'DevNet', 'DeepSVDD'})
0.02	frozenset({'PReNet', 'DeepSAD', 'DeepSVDD'})
0.02	frozenset({'Success', 'DevNet', 'DeepSVDD'})
0.02	frozenset({'RCA', 'DevNet', 'DeepSVDD'})
0.02	frozenset({'PReNet', 'DeepSAD', 'Success', 'DeepSVDD'})
0.02	frozenset({'Success', 'DevNet', 'DeepSVDD', 'RCA', 'RePEN'})
0.018	frozenset({'Success', 'Quartile', 'DevNet', 'DeepSVDD', 'RCA'})
0.018	frozenset({'Quartile', 'Success', 'DevNet', 'DeepSVDD'})
0.018	frozenset({'RePEN', 'Success', 'DevNet', 'Quartile'})
0.018	frozenset({'PReNet', 'Success', 'ICL'})
0.018	frozenset({'Success', 'DevNet', 'Quartile'})
0.018	frozenset({'PReNet', 'DeepSAD', 'Success', 'RePEN'})
0.018	frozenset({'PReNet', 'Success', 'DeepSVDD', 'RCA', 'RePEN'})
0.018	frozenset({'DevNet', 'Quartile'})
0.018	frozenset({'RePEN', 'PReNet', 'RCA', 'DeepSVDD'})
0.018	frozenset({'NeuTraL', 'ICL'})
0.018	frozenset({'Quartile', 'RCA', 'DevNet', 'DeepSVDD'})
0.018	frozenset({'PReNet', 'DeepSAD', 'RePEN', 'DeepSVDD'})
0.018	frozenset({'DeepSVDD', 'RePEN', 'DevNet', 'Quartile'})
0.018	frozenset({'Success', 'Quartile', 'DevNet', 'DeepSVDD', 'RCA', 'RePEN'})
0.018	frozenset({'RePEN', 'RCA', 'DevNet', 'Quartile'})
0.018	frozenset({'RCA', 'DevNet', 'Quartile'})
0.018	frozenset({'PReNet', 'Success', 'DeepSVDD', 'DeepSAD', 'RePEN'})
