antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'DeepSVDD', 'DevNet', 'Quartile'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'PReNet', 'DeepSVDD', 'RCA', 'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.014	0.946	0.014	1.0	1.0570824524312896	0.0007560000000000015	inf	0.05476673427991897
frozenset({'DeepSVDD', 'DeepSAD', 'RePEN', 'Quartile'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'DeepSAD', 'Quartile'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'Quartile', 'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'RePEN', 'RCA', 'Quartile', 'DeepSAD'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'DeepSVDD', 'DeepSAD', 'Quartile'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'DeepSVDD', 'Quartile', 'RCA', 'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'DeepSAD', 'RCA', 'Quartile'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'GOAD', 'RoSAS'})	frozenset({'Success'})	0.016	0.946	0.016	1.0	1.0570824524312896	0.0008640000000000002	inf	0.05487804878048781
frozenset({'DeepSVDD', 'RePEN', 'DevNet', 'Quartile'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'Quartile', 'RCA', 'DevNet'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'RePEN', 'RCA', 'DevNet', 'Quartile'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'RePEN', 'PReNet', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'DeepSVDD', 'DevNet', 'Quartile', 'RCA', 'RePEN'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'RePEN', 'PReNet', 'RCA', 'DeepSVDD'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'PReNet', 'RePEN', 'DeepSAD'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
frozenset({'Quartile', 'DevNet'})	frozenset({'Success'})	0.018	0.946	0.018	1.0	1.0570824524312896	0.0009720000000000006	inf	0.054989816700611045
