support	itemsets
0.948	frozenset({'Success'})
0.12	frozenset({'RePEN'})
0.118	frozenset({'Success', 'RePEN'})
0.112	frozenset({'DeepSVDD'})
0.112	frozenset({'GOAD'})
0.108	frozenset({'DeepSVDD', 'Success'})
0.106	frozenset({'RCA'})
0.104	frozenset({'GOAD', 'Success'})
0.102	frozenset({'RCA', 'Success'})
0.102	frozenset({'NeuTraL'})
0.1	frozenset({'ICL'})
0.1	frozenset({'RoSAS'})
0.098	frozenset({'ICL', 'Success'})
0.096	frozenset({'Success', 'NeuTraL'})
0.094	frozenset({'Success', 'RoSAS'})
0.094	frozenset({'PReNet'})
0.09	frozenset({'DeepSAD'})
0.09	frozenset({'Success', 'PReNet'})
0.088	frozenset({'SLAD'})
0.086	frozenset({'DeepSAD', 'Success'})
0.086	frozenset({'Success', 'SLAD'})
0.08	frozenset({'DevNet'})
0.078	frozenset({'DeepSVDD', 'RePEN'})
0.078	frozenset({'DevNet', 'Success'})
0.076	frozenset({'DeepSVDD', 'Success', 'RePEN'})
0.072	frozenset({'GOAD', 'DeepSVDD'})
0.07	frozenset({'NeuTraL', 'RePEN'})
0.068	frozenset({'GOAD', 'DeepSVDD', 'Success'})
0.068	frozenset({'NeuTraL', 'Success', 'RePEN'})
0.062	frozenset({'DevNet', 'DeepSAD'})
0.06	frozenset({'DeepSVDD', 'DeepSAD'})
0.06	frozenset({'DevNet', 'DeepSAD', 'Success'})
0.056	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN'})
0.056	frozenset({'GOAD', 'DeepSAD'})
0.056	frozenset({'DeepSVDD', 'DeepSAD', 'Success'})
0.056	frozenset({'DeepSVDD', 'NeuTraL'})
0.054	frozenset({'DeepSVDD', 'Success', 'NeuTraL'})
0.054	frozenset({'NeuTraL', 'DeepSVDD', 'Success', 'RePEN'})
0.054	frozenset({'GOAD', 'RoSAS'})
0.052	frozenset({'GOAD', 'Success', 'RoSAS'})
0.052	frozenset({'GOAD', 'DeepSAD', 'Success'})
0.052	frozenset({'DeepSVDD', 'RoSAS'})
0.05	frozenset({'DeepSVDD', 'Success', 'RoSAS'})
0.05	frozenset({'GOAD', 'RePEN'})
0.05	frozenset({'DeepSAD', 'NeuTraL'})
0.048	frozenset({'DeepSAD', 'RePEN'})
0.048	frozenset({'GOAD', 'Success', 'RePEN'})
0.048	frozenset({'DeepSAD', 'Success', 'NeuTraL'})
0.046	frozenset({'GOAD', 'DeepSAD', 'DeepSVDD'})
0.046	frozenset({'DeepSAD', 'Success', 'RePEN'})
0.046	frozenset({'DevNet', 'ICL'})
0.044	frozenset({'ICL', 'DevNet', 'Success'})
0.042	frozenset({'GOAD', 'DeepSAD', 'Success', 'DeepSVDD'})
0.042	frozenset({'DeepSVDD', 'DeepSAD', 'RePEN'})
0.042	frozenset({'NeuTraL', 'DeepSAD', 'RePEN'})
0.042	frozenset({'GOAD', 'DevNet'})
0.042	frozenset({'GOAD', 'DeepSVDD', 'RoSAS'})
0.042	frozenset({'DevNet', 'DeepSVDD'})
0.04	frozenset({'GOAD', 'DeepSVDD', 'Success', 'RoSAS'})
0.04	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD'})
0.04	frozenset({'RCA', 'SLAD', 'Success'})
0.04	frozenset({'RePEN', 'SLAD'})
0.04	frozenset({'RCA', 'SLAD'})
0.04	frozenset({'DeepSVDD', 'DeepSAD', 'Success', 'RePEN'})
0.04	frozenset({'GOAD', 'DeepSVDD', 'RePEN'})
0.04	frozenset({'Success', 'RePEN', 'SLAD'})
0.04	frozenset({'DevNet', 'DeepSVDD', 'Success'})
0.04	frozenset({'NeuTraL', 'DeepSAD', 'Success', 'RePEN'})
0.04	frozenset({'GOAD', 'DevNet', 'Success'})
0.04	frozenset({'GOAD', 'NeuTraL'})
0.038	frozenset({'GOAD', 'DevNet', 'DeepSAD'})
0.038	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD', 'Success'})
0.038	frozenset({'GOAD', 'DeepSVDD', 'Success', 'RePEN'})
0.038	frozenset({'GOAD', 'NeuTraL', 'RePEN'})
0.038	frozenset({'GOAD', 'Success', 'NeuTraL'})
0.036	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'Success'})
0.036	frozenset({'DeepSAD', 'ICL'})
0.036	frozenset({'DeepSVDD', 'NeuTraL', 'DeepSAD', 'RePEN'})
0.036	frozenset({'DeepSVDD', 'DeepSAD', 'NeuTraL'})
0.036	frozenset({'GOAD', 'NeuTraL', 'Success', 'RePEN'})
0.036	frozenset({'GOAD', 'DevNet', 'DeepSVDD'})
0.034	frozenset({'NeuTraL', 'SLAD'})
0.034	frozenset({'DevNet', 'DeepSAD', 'ICL'})
0.034	frozenset({'NeuTraL', 'RePEN', 'SLAD'})
